CompanyID,ReportYear,EnergyConsumption(MWh),GHG Emissions(tonne (Mt) of CO2e),WaterUsage(tonne (Mt)),WasteGenerated (tonne),RenewableEnergyUse (MWh)
3,2023,"211,171.84","116,722.56","1,371,360.69",7270.61,NA
3,2022,"144,741.38","85,742.61","1,020,312.10",7053.71,NA
3,2021,"144,626.56","82,820.16","927,326.00",6331.38,NA
3,2020,"118,397.58","66,481.29","606,265.84",4661.44,NA
4,2019,2837000,809000,,31500,
4,2020,2529000,569000,,22100,
4,2021,2846000,475000,,20700,
4,2022,2448000,430000,,14800,
4,2023,2287000,364000,,16500,
6,2022,"35,177,000","15,053,000","172,811,000","1,413,365","8,704,000"
6,2021,"32,322,000","17,400,000","163,660,000","1,324,972","5,278,000"
6,2020,"29,024,000","14,806,000","141,648,000","1,181,741","4,030,000"
5,2023,"15,543,490","7,443,182","5,274,000","38,468","15,543,490"
5,2022,"11,822,293","8,453,471","4,893,023","18,519","11,822,293"
5,2021,"9,689,497","5,740,244","5,042,564","18,430","9,689,497"
5,2020,"7,520,839","4,984,000","3,726,000","10,000","7,520,839"
1,2023,"483,299,062","324,100","6,100,000","497,000","3,489,000"
1,2022,"487,921,930","324,000","5,800,000","523,000","3,199,000"
1,2021,"384,727,076","166,380","5,300,000","419,000","2,854,000"
1,2020,"372,901,398","334,430","4,900,000","400,000","2,580,000"
1,2019,"339,047,649","573,730","4,900,000","322,000","2,430,000"
2,2023,"377,338","219,825","1,420,000","48,452","16,956"
2,2022,"392,825","228,282","1,499,000","51,099","13,333"
2,2021,"366,885","210,007","1,567,000","49,528","9,360"
2,2020,"346,683","206,466","1,428,000","51,685","9,065"
2,2019,"327,798","194,215","1,307,000",na,"4,226"
7,2023,"25,910,500","14,314,800","6,352.00","41,100","25,307,000"
7,2022,"22,367,100","12,617,400","5,564.70","38,200","21,776,200"
7,2021,"18,639,900","10,775,200","4,561.80","28,200","18,287,100"
7,2020,"15,492,000","8,567,200","3,748.90","28,900","15,138,500"
7,2019,"12,801,900","9,671,400","3,412.40","48,100","12,237,200"
8,2023,"5,165,168.20","5,793,823.70","8,191,328.40",47858.1,"604,277.10"
8,2022,"5,046,045.10","5,739,723.70","8,152,481.90",34113.4,"336,419.50"
8,2021,"4,452,650.10","5,871,780.70","6,201,651.60",30173.6,"63,000.00"
