CompanyID,ReportYear,Board Composition,Board independence (%),Women on the board(%),"Management
Diversity (Women in the
management team)",Certifications (List all sustainability or ESG-related certification),Anti-corruption,Whistleblowing
7,2023,NA,NA,NA,NA,NA,NA,
7,2022,NA,NA,NA,NA,NA,NA,
7,2021,NA,NA,NA,NA,NA,NA,
7,2020,NA,NA,NA,NA,NA,NA,
7,2019,NA,NA,NA,NA,NA,NA,
6,2022,11,54.5,18.2,16.9,"ISO 14001, ISO 45001, ISO 50001, ISO/IEC 27701, ISO/IEC 27001","254,045 people",999
6,2021,NA,NA,NA,16.1,,"198,592 people",929
6,2020,NA,NA,NA,15.3,,"187,228 people",728
1,2023,8,50%,50%,na,"ISO 14001, lSO 14040, ISO 14044,  lSO 14064, lSO 14067",,
1,2022,8,,,32.30%,ISO 14001,,
1,2021,8,,,31.40%,ISO 14001,,
1,2020,8,,,31%,,,
1,2019,8,,,30%,,,
2,2023,12,75,16.6,NA,"ISO 14001,ISO 50001, ISO 9001, ISO 45001",,
2,2022,12,75,16.6,NA,"ISO 14001,ISO 50001, ISO 9001, ISO 45001",,
2,2021,12,75,16.6,NA,"ISO 14001,ISO 50001, ISO 9001, ISO 45001",,
2,2020,12,75,16.6,NA,"ISO 14001,ISO 50001, ISO 9001, ISO 45001",,
2,2019,12,75,16.6,NA,"ISO 14001,ISO 50001, ISO 9001, ISO 45001",,
3,2023,7,33.3,0,NA,"ISO 14001, ISO 45001, ISO 50001",ISO 37001 Anti- Bribery Management Systems,
3,2022,7,33.3,0,NA,"ISO 14001, ISO 45001, ISO 50001",NA,
3,2021,7,33.3,0,NA,"ISO 14001, ISO 45001, ISO 50001",NA,
5,2023,10,NA,30%,NA,"ISO 14001,ISO 50001,ISO 14064",,
5,2022,NA,NA,NA,36.70%,NA,,
5,2021,NA,NA,NA,35.50%,NA,,
5,2020,NA,NA,NA,34.20%,NA,,
4,2023,13,92%,38%,31.40%,,,
4,2022,13,,,31.10%,,,
4,2021,13,,,31%,,,
4,2020,,,,,"ISO 14001, ISO 50001, ISO 14064-3",,
4,2019,,,,,,,
,,,,,,,,
8,2023,,,25%,,,,
8,2022,,,,,,,
8,2021,,,,,ISO14064-1:2018,,
