CompanyID,ReportYear,EmployeeCount,Keyword: DataSecurity,Keyword: CustomerPrivacy,Keyword: Cybersecurity,Male(%),Female(%),Age (Under 30),Age (30-50),Age (Above 50),TrainingHours,Work-related injuries/ occupational fatalities
7,2023,"204,000",0,0,0,65.90%,34.10%,40,35,15,0,0
7,2022,"190,234",0,0,0,65.90%,34.10%,40,35,15,0,0
7,2021,"186,779",0,0,0,66.10%,33.90%,40,35,15,0,0
7,2020,"156,500",0,0,0,67.50%,32.50%,40,35,15,0,0
7,2019,"118,899",0,0,0,68.00%,32.00%,40,35,15,0,0
6,2022,"270,372",1,1,1,64.9,35.1,31,,,"9,140,000",0.031
6,2021,"266,673",1,1,1,63.7,36.3,33.72,,,"8,180,000",0.022
6,2020,"267,937",1,1,1,62.7,37.3,38,,,"7,340,000",0.008
3,2023,"35,116",1,1,1,73.65,26.35,35.76,63.51,0.73,30.17,0
3,2022,"35,997",1,1,1,69.35,30.65,39.4,59.74,0.86,35.57,0
3,2021,"33,415",1,1,1,66.7,33.3,43.69,55.51,0.8,25.76,0
3,2020,"24,810",1,1,1,,,47.32,52.14,0.53,,0.000045
5,2023,"67,317",0,0,0,63.30%,36.70%,,,,0,0
5,2022,"86,482",0,0,0,62.90%,37.10%,,,,0,0
5,2021,"71,970",0,0,0,63.30%,36.70%,,,,0,0
5,2020,"58,604",0,0,0,63.00%,37.00%,,,,0,0
1,2023,"161,000",1,1,1,64.41%,35.59%,,,,0,0
1,2022,"164,000",1,1,1,64.60%,35.30%,,,,0,0
1,2021,"154,000",1,1,1,65.20%,34.80%,,,,0,0
1,2020,"147,000",1,1,1,66%,34%,,,,0,0
1,2019,"137,000",1,1,1,67%,33%,,,,0,0
4,2023,282200,1,0,1,62.60%,37.40%,,,,"23,100,000",0.049
4,2022,288300,1,0,1,62.80%,37.20%,,,,"24,300,000",
4,2021,282100,1,0,1,63.30%,36.70%,,,,"22,500,000",
4,2020,345900,0,0,0,,,,,,,
4,2019,352600,0,0,0,,,,,,,
2,2023,69500,1,1,1,63,37,14,72,14,625500,
2,2022,77000,1,1,1,63,37,15,72,13,462000,0.002
2,2021,75000,0,1,1,63,37,15,73,12,375000,
2,2020,71500,0,1,1,64,36,15,73,12,n/a,
2,2019,63000,0,1,1,64,36,n/a,n/a,n/a,n/a,
8,2023,56780,1,1,1,71.27%,28.73%,31.38%,68.02%,0.60%,1465109.1,0.13
8,2022,61328,1,1,1,71.24%,28.76%,36.97%,62.61%,0.42%,2225679.7,0.09
8,2021,68226,1,1,1,70.95%,29.05%,41.93%,57.78%,0.29%,2795780.2,0.25
