GHG Emissions(tonne (Mt) of CO2e),FY23,FY22 j,FY21 j
Scope 1,"12,346 a, b","4,612","2,692"
Stationary natural gas,"8,414","3,150","2,187"
Distillate fuel oil,412,46,64
Gasoline,"1,854",135,77
Refrigerants,"1,659","1,281",363
Chemical Use,7,not available,not available
"Scope 2, market-based","60,671 a","78,210","89,048"
"Scope 1 and 2, market-based","73,017","82,822","91,740"
"Scope 2, location-based i","142,909 a","133,569","105,621"
Scope 3 k,"2,108,187","2,701,477","2,074,450"
Category 1: Purchased goods and services,"1,755,666 a, c","2,506,722","1,755,390"
Category 2: Capital goods,"171,327 a, d","62,586","102,026"
Category 3: Fuel-and energy-related activities,"67,805 a","50,631","34,494"
Category 4: Upstream transportation and distribution,"60,572 a, e","37,910","49,749"
Category 5: Waste generated in operations,"579 a, f",291,577
Category 6: Business travel,"4,296 a, g",576,"3,068"
Category 7: Employee commuting,"14,990 a, h","21,189","14,764"
Category 8: Upstream leased assets,"32,952 a, i","21,572","12,357"
