WasteGenerated (tonne),FY23 b,FY22,FY21
Waste generated,"1,856",937,"2,778"
Waste recycled/composted,"1,068",526,"1,887"
Landfill diversion rate (%),58%,56%,68%
General waste recycled,295,127,314
General waste composted,460,102,173
Clean paper recycled,48,17,18
"Batteries, hazardous waste, and lamps recycled",3,1,2
Electronic waste recycled,152,51,43
Construction/demolition waste recycled,83,228,"1,337"
Waste landfilled,789,411,891
General waste landfilled,696,224,346
Hazardous waste landfilled,7,0,0
Construction/demolition waste landfilled,86,186,545
