Description,2021,2022,2023,GRI,SASB,SDGs
Governance structure,2024 IBM Proxy Statement (pages 8-24); IBM,Board Corporate Governance Guidelines ; 2023 IBM,"Impact Report (pages 9, 12-14)",2-9,,"8, 16"
Nomination and selection of the highest governance body Chair of the,"2024 IBM Proxy Statement (pages 8-17, 23) IBM Chairman of the Board is CEO Arvind Krishna.",,,2-10,,
highest governance body Role of the highest governance body in overseeing the,"2024 IBM Proxy Statement (pages 4, 18, 21-22);",IBM Business Conduct Guidelines; IBM Board,Corporate Governance Guidelines,2-11,,
management of impacts Delegation of responsibility for managing impacts,"2024 IBM Proxy Statement (pages 4, 18, 21-22); 2023 IBM Impact Report (page 9)",2023 IBM Impact Report (pages 12-14),,2-12 2-13,,
Role of the highest governance body in sustainability reporting Collective knowledge of the highest governance body,"2024 IBM Proxy Statement (pages 24, 29-30); 2024 IBM Proxy Statement (pages 5, 8-10, 24,","2023 IBM Impact Report (page 9) 29-30); 2023 IBM Impact Report (pages 9, 14)",,2-14 2-17,,
Evaluation of the performance of the highest governance body,"2024 IBM Proxy Statement (pages 8-17, 23)",,,2-18,,
Board of directors Average tenure (years),2023 IBM Impact Report (pages 12-14) 4.9,5.9,5.9,,TC-SI-330a.3,8
Non-independent directors Independent directors,1 11,1 11,1 12,,,
Gender and ethnic diversity Director nominees with <5 year tenure,33% 8,33% 6,38% 6,405-1,,5
Director nominees with 5-10 year tenure,2,4,5,,,
"Director nominees with >10 year tenure Risk management, business ethics, and compliance",2,2,2,,,
Business continuity risks related to disruptions of operations,2024 Impact Report (page 15); 2023 IBM Proxy As a company with a substantial employee,"Statement; IBM CDP Disclosures; 2023 IBM 10-K population and with clients in more than 175 countries,","(pages 3-11) is involved, either as plaintiff or","201-2, 205-1","TC-SI-550a.1, TC-SI-550a.2",
"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices","defendant, in a variety of ongoing claims, demands, of its business. As a publicly traded company, U.S. Securities and Exchange Commission and Exchange Commission. 2023 IBM 10-K","suits, investigations and proceedings that arise IBM discloses pending, material legal matters deemed regulations in IBM’s Forms 2023 10-K, 10-Q, 8-K or other",from time to time in the ordinary course reportable under the U.S. GAAP and required filings with the U.S. Securities,206-1,TC-SI-520a.1,
Communication and training about anti-corruption policies and procedures,2023 IBM Impact Report (page 16); IBM Business,Conduct Guidelines,,205-2,,
Confirmed incidents of corruption and actions taken,"As a company with a substantial employee defendant, in a variety of ongoing claims, demands, of its business. As a publicly traded company, U.S. Securities and Exchange Commission and Exchange Commission. 2023 IBM 10-K IBM does not disclose the total","population and with clients in more than 175 countries, suits, investigations and proceedings that arise IBM discloses pending, material legal matters deemed regulations in IBM’s Forms 2023 10-K, 10-Q, 8-K or other number and nature of critical","is involved, either as plaintiff or from time to time in the ordinary course reportable under the U.S. GAAP and required filings with the U.S. Securities the Board, the Board and its",205-3,,
,Although publicly,concerns reported,,,,
Communication of critical concerns,"committees have oversight responsibility for management and activities, policies and progress 2024 IBM Proxy Statement (pages 24-25); 2023","ESG-related matters: they are continuously engaged towards our ESG goals. IBM Impact Report (pages 9, 12-14)",senior management on risk,2-16,,
Policy commitments Processes to remediate negative impacts Mechanisms for seeking advice and raising concerns,IBM Reports and Policies; 2024 Impact Report 2023 IBM Impact Report (page 16); IBM Business 2023 IBM Impact Report (page 16); IBM Business,(page 16) ; IBM Business Conduct Guidelines Conduct Guidelines Conduct Guidelines,,"2-23, 2-24 2-25 2-26",,
