Description,,,,,,
Employees,2023 IBM Annual Report (page 15); 2022 IBM,Annual Report (page 15); 2021 IBM Annual Report,(page 15),"2-7, 2-8",,
Total employees (in thousands),,,,,,
IBM/wholly owned subsidiaries,282.1,288.3,282.2,,,
Less-than-wholly owned subsidiaries,9.8,8.2,8.7,,,
Complementary,15.7,14.8,14.4,,,
Employees responded to the annual Engagement Survey,"170,000","185,000","187,000",,TC-SI-330a.2,
Employees that indicated that they were engaged at work,8 out of 10,8 out of 10,8 out of 10,,TC-SI-330a.2,
Career and development,2023 IBM Impact Report (page 24); IBMer,Learning and Development,,"404-2, 404-3",,
Total employee learning hours worldwide (M),22.5,24.3,23.1,,TC-SI-330a.2,
Average learning hours per regular/full time employee,84,86,85,404-1,TC-SI-330a.2,
,,,,"403-3, 403-4,",,
"Health, safety, and well-being",2023 IBM Impact Report (page 26); IBM Health,and Safety Report,,"403-5, 403-6,",,3
,,,,403-7,,
,,,,"403-1, 403-2,",,
Health and safety management system,IBM Health and Safety Policy; IBM Business,Conduct Guidelines; IBM ISO Management Certifications,,,,
,,,,403-8,,
Worker-related injuries,,,,403-9,,
Number of fatalities,1,0,0,,,
Rate of fatalities,0.0016,0,0,,,
Number of high-consequence work-related injuries,5,1,1,,,
Rate of high-consequence work-related injuries1,0.0082,0.0018,0.0018,,,
Number of recordable work-related injuries2,38,9,32,,,
Rate of recordable work-related injuries,0.0625,0.0159,0.0588,,,
Number of hours worked,"607,952,000","564,650,000","544,558,000",,,
,"Slips, trips and falls, automobile and struck","Struck by/strike against an object, slips and","Struck by/strike against an object, slips and",,,
Main types of work-related injuries,,,,,,
,by/strike against an object,"falls, overexertion","falls, overexertion",,,
Worker-related ill health,,,,403-10,,
Number of fatalities as a result of work-related ill health,0,0,0,,,
Number of cases of recordable work-related ill health2,22,24,35,,,
Main types of work-related ill health,Hearing loss & musculoskeletal,Hearing loss & musculoskeletal,"Hearing loss, mental health, musculoskeletal",,,
Benefits,IBM Benefits; 2023 IBM Impact Report (page,26),,"401-2, 401-3",,
Defined benefit plan obligations and other retirement plans,"2023 IBM Annual Report (pages 57, 107-110)",,,201-3,,
Minimum notice periods regarding operational changes,IBM Global Employment Standards,,,402-1,,
Compensation,,,,,,
Ratios of standard entry level wage by gender compared to,,,,,,
,IBM Global Employment Standards,,,202-1,,
local minimum wage,,,,,,
,"Overall, IBM pays equitably for similar work.",Women globally earn $1.00 for every $1.00 earned,by men for similar work.,,,
Ratio of basic salary and remuneration of women to men,,,,405-2,,
,IBM Impact Report (31); IBM Global Employment,Standards,,,,
Remuneration policies and process to determine remuneration,"2024 IBM Proxy Statement (pages 25-26,",33-66); IBM Executive Compensation and Management,Resources Committee Charter,"2-19, 2-20",,
Annual total compensation ratio,2024 IBM Proxy Statement (page 64),,,2-21,,
