Description,2021,2022,2023,GRI,"SASB TC-SI-330a.1,",SDGs
Diversity and inclusion,2023 IBM Impact Report (pages 32-34); IBM,EEO-1; Red Hat EEO-1,,405-1,TC-SI-330a.3,"5, 8"
Representation trends,2023 IBM Impact Report (pages 32-33),,,405-1,,
Overall representation,,,,,,
Women (Global),36.7%,37.2%,37.4%,,,
Black (U.S.),7.4%,7.7%,7.5%,,,
Hispanic (U.S.),6.6%,7.0%,7.0%,,,
Native American (U.S.),0.3%,0.3%,0.3%,,,
Native Hawaiian/Pacific Islander (U.S.),0.2%,0.2%,0.2%,,,
Pan-Asian (U.S.),19.2%,19.7%,20.5%,,,
Multi-race (U.S.),0.9%,0.9%,0.9%,,,
Management representation,,,,,,
Women (Global),31.0%,31.1%,31.4%,,,
Black (U.S.),5.6%,5.8%,5.6%,,,
Hispanic (U.S.),5.0%,5.6%,5.9%,,,
Native American (U.S.),0.3%,0.3%,0.4%,,,
Native Hawaiian/Pacific Islander (U.S.),0.1%,0.1%,0.1%,,,
Pan-Asian (U.S.),17.1%,18.4%,19.6%,,,
Multi-race (U.S.),0.8%,0.8%,0.8%,,,
Technical representation,,,,,,
Women (Global),30.1%,30.6%,31.1%,,,
Black (U.S.),6.6%,7.1%,6.8%,,,
Hispanic (U.S.),6.7%,7.0%,6.8%,,,
Native American (U.S.),0.2%,0.3%,0.3%,,,
Native Hawaiian/Pacific Islander (U.S.),0.2%,0.2%,0.2%,,,
Pan-Asian (U.S.),24.5%,24.7%,23.6%,,,
Multi-race (U.S.),1.0%,0.9%,0.9%,,,
Executive representation,,,,,,
Women (Global),28.8%,29.1%,30.2%,,,
Black (U.S.),6.1%,6.6%,6.4%,,,
Hispanic (U.S.),5.5%,5.9%,6.4%,,,
Native American (U.S.),0.3%,0.5%,0.5%,,,
Native Hawaiian/Pacific Islander (U.S.),0.1%,0.1%,0.1%,,,
Pan-Asian (U.S.),15.7%,16.6%,17.6%,,,
Multi-race (U.S.),0.5%,0.6%,0.7%,,,
Opportunities for self-identification,2023 IBM Impact Report (page 31),,,,,
Self-identified as People with Diverse Abilities,1.0%,1.0%,4.7%,,,
Self-identified as Veterans,5.0%,5.0%,4.9%,,,
Self-identified as LGBTQ+,9.0%,9.0%,10.0%,,,
