,Description \nHiring trends,2021,Equitable Impact | Social \n2022,2023,GRI,SASB,SDGs
,Overall new hires1,"Over 79,0001","Over 59,000","Over 30,000",401-1,,
,Women (Global),40.1%,39.7%,40.5%,,,
,Black (U.S.),13.8%,13.5%,12.4%,,,
,Hispanic (U.S.),9.6%,9.8%,8.9%,,,
,Native American (U.S.),0.3%,0.3%,0.5%,,,
,Native Hawaiian/Pacific Islander (U.S.),0.2%,0.3%,0.2%,,,
,Pan-Asian (U.S.),23.5%,24.0%,27.6%,,,
,Multi-race (U.S.),0.7%,0.7%,0.5%,,,
,Management new hires,,,,,,
,Women (Global),34.1%,30.4%,33.4%,,,
,Black (U.S.),10.0%,8.8%,5.5%,,,
,Hispanic (U.S.),8.1%,4.0%,10.2%,,,
,Native American (U.S.),0.5%,0.0%,0.0%,,,
,Native Hawaiian/Pacific Islander (U.S.),0.3%,0.4%,0.0%,,,
,Pan-Asian (U.S.),19.4%,22.9%,27.3%,,,
,Multi-race (U.S.),0.3%,0.0%,0.0%,,,
,Technical new hires,,,,,,
,Women (Global),34.0%,32.5%,32.8%,,,
,Black (U.S.),11.6%,11.5%,11.7%,,,
,Hispanic (U.S.),8.9%,8.6%,6.7%,,,
,Native American (U.S.),0.2%,0.2%,0.8%,,,
,Native Hawaiian/Pacific Islander (U.S.),0.2%,0.3%,0.2%,,,
,Pan-Asian (U.S.),29.9%,31.9%,34.2%,,,
,Multi-race (U.S.),0.9%,0.9%,0.7%,,,
,Executives new hires,,,,,,
,Women (Global),33.2%,30.9%,36.4%,,,
,Black (U.S.),10.4%,7.1%,6.8%,,,
,Hispanic (U.S.),7.1%,6.4%,13.6%,,,
,Native American (U.S.),0.0%,0.0%,0.0%,,,
,Native Hawaiian/Pacific Islander (U.S.),0.4%,0.0%,0.0%,,,
,Pan-Asian (U.S.),20.0%,20.5%,28.4%,,,
,Multi-race (U.S.),0.0%,1.9%,0.0%,,,
,,Diversity and international experience are crucial,"for IBM, which operates in more than 175",countries. Our business success is derived from,,,
,Proportion of senior management hired from the,an understanding of diverse business environments,"and economic conditions, and a broad",perspective on global business opportunities.,We,,
,,,,,202-2,,
,local community,support local management in implementing our,"business strategy, programs and initiatives.",,,,
