Description Supply chain social responsibility,2023 IBM Impact Report (pages 39-42); IBM,2023 Supply Chain Responsibility; IBM Supplier Diversity,,"GRI 414-1, 414-2",SASB,"SDGs 5, 8, 16, 17"
First-tier supplier diversity spend ($B),,,,204-1,,
U.S.,,$0.9,,,,
Non-U.S.,,$0.3,,,,
Total worldwide,,$1.2,,,,
Supplier RBA full audits and re-audits by country,Full audit,Re-audit,Total,,,
Brazil,2,2,4,,,
Bulgaria,0,1,1,,,
Chile,5,4,9,,,
China,22,15,37,,,
Columbia,0,1,1,,,
Czech Republic,2,1,3,,,
Germany,3,1,4,,,
Greece,1,0,1,,,
Hungary,1,1,2,,,
India,9,5,14,,,
Italy,2,0,2,,,
Japan,4,1,5,,,
Korea,1,1,2,,,
Malaysia,3,1,4,,,
Mexico,10,5,15,,,
Philippines,3,2,5,,,
Romania,1,2,3,,,
Singapore,3,1,4,,,
Taiwan,5,3,8,,,
Thailand,3,0,3,,,
UAE,1,1,2,,,
United States,1,0,1,,,
Total,82,48,130,,,
