Director,Marianne C. Brown,Thomas Buberl,David N. Farr,Alex Gorsky,Michelle J. Howard,Arvind Krishna,,Andrew N. Liveris,F. William McNabb III,Michael Miebach,Martha E. Pollack,Peter R. Voser,Frederick H. Waddell,Alfred W. Zollar
Client Industry Expertise,,,,,,,,,,,,,,
Organizational Leadership and Management,,,,,,,,,,,,,,
Global Operations,,,,,,,,,,,,,,
CFO,,,,,,,,,,,,,,
Specific Risk Oversight/ Risk Management Exposure,,,,,,,,,,,,,,
"Technology, Cybersecurity or Digital",,,,,,,,,,,,,,
Academia,,,,,,,,,,,,,,
"Government/ Regulatory, Business Associations or Public Policy",,,,,,,,,,,,,,
Public Board,,,,,,,,,,,,,,
Gender Identity,Female,Male,Male,Male,Female,Male,,Male,Male,Male,Female,Male,Male,Male
Race and/or Ethnicity,White/ Caucasian,White/ Caucasian,White/ Caucasian,White/ Caucasian,Black/African American,Asian/Pacific Islander,,White/ Caucasian,White/ Caucasian,White/ Caucasian,White/ Caucasian,White/ Caucasian,White/ Caucasian,Black/African American
