,American Indian or Alaska,Black or African,Native Hawaiian or Other Pacific,Female,,Hispanic,Two More,or,American Indian or Alaska,Black or African,Native Hawaiian or Other Pacific,Male,,Hispanic,Two or More,
,Native,American,Islander,White,Asian,or Latino,,Races,Native,American,Islander,White,Asian,or Latino,Races,Total
Executive/Senior Officials and Managers,6,67,—,470,123,56,16,,4,90,3,912,306,99,20,"2,172"
First/Mid-level Officials and Managers,12,199,3,"1,446",401,143,48,,10,182,8,"2,862","1,072",248,97,"6,731"
Professionals,25,"1,088",18,"5,135","2,644",779,131,,51,"1,378",43,"12,009","4,969","1,503",258,"30,031"
Technicians,1,36,—,130,23,30,1,,7,171,5,930,112,186,8,"1,640"
Sales Workers,11,201,5,"1,045",304,164,17,,28,361,6,"3,212",724,370,37,"6,485"
Administrative Support Workers,—,81,—,295,27,35,3,,—,20,1,115,6,17,2,602
Craft Workers,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Laborers and Helpers,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Service Workers,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Operatives,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Totals,55,"1,672",26,"8,521","3,522","1,207",216,,100,"2,202",66,"20,040","7,189","2,423",422,"47,661"
Red Hat EEO-1,,,,,,,,,,,,,,,,
,,,,Female,,,,,,,,Male,,,,
,,,Native,,,,,,,,Native,,,,,
,American,,Hawaiian,,,,,,American,,Hawaiian,,,,,
,Indian or,Black,or or Other,,,,Two,or,Indian or,Black or,or Other,,,,Two or,
,Alaska,African,Pacific,,,Hispanic,,More,Alaska,African,Pacific,,,Hispanic,More,
,Native,American,Islander,White,Asian,or Latino,,Races,Native,American,Islander,White,Asian,or Latino,Races,Total
Executive/Senior Officials and Managers,—,—,—,15,1,1,—,,—,—,—,51,8,2,—,78
First/Mid-level Officials and Managers,2,35,—,365,47,21,5,,3,27,—,675,93,39,13,"1,325"
Professionals,1,132,2,957,267,84,31,,10,182,4,"2,553",500,227,98,"5,048"
Technicians,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Sales Workers,—,9,—,183,13,12,7,,—,22,3,543,57,31,19,899
Administrative Support Workers,—,11,—,37,5,4,—,,—,1,—,5,2,2,1,68
Craft Workers,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Laborers and Helpers,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Service Workers,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Operatives,—,—,—,—,—,—,—,,—,—,—,—,—,—,—,—
Totals,3,187,2,"1,557",333,122,43,,13,232,7,"3,827",660,301,131,"7,418"
