================================================================================
Table 18
================================================================================
                                     Description                                      2021                 2022       2023        GRI SASB TC-SI-330a.1,       SDGs
                         Diversity and inclusion 2023 IBM Impact Report (pages 32-34); IBM EEO-1; Red Hat EEO-1        N/A      405-1       TC-SI-330a.3       5, 8
                           Representation trends      2023 IBM Impact Report (pages 32-33)                  N/A        N/A      405-1                N/A        N/A
                          Overall representation                                       N/A                  N/A        N/A        N/A                N/A        N/A
                                  Women (Global)                                     36.7%                37.2%      37.4%        N/A                N/A        N/A
                                    Black (U.S.)                                      7.4%                 7.7%       7.5%        N/A                N/A        N/A
                                 Hispanic (U.S.)                                      6.6%                 7.0%       7.0%        N/A                N/A        N/A
                          Native American (U.S.)                                      0.3%                 0.3%       0.3%        N/A                N/A        N/A
         Native Hawaiian/Pacific Islander (U.S.)                                      0.2%                 0.2%       0.2%        N/A                N/A        N/A
                                Pan-Asian (U.S.)                                     19.2%                19.7%      20.5%        N/A                N/A        N/A
                               Multi-race (U.S.)                                      0.9%                 0.9%       0.9%        N/A                N/A        N/A
                       Management representation                                       N/A                  N/A        N/A        N/A                N/A        N/A
                                  Women (Global)                                     31.0%                31.1%      31.4%        N/A                N/A        N/A
                                    Black (U.S.)                                      5.6%                 5.8%       5.6%        N/A                N/A        N/A
                                 Hispanic (U.S.)                                      5.0%                 5.6%       5.9%        N/A                N/A        N/A
                          Native American (U.S.)                                      0.3%                 0.3%       0.4%        N/A                N/A        N/A
         Native Hawaiian/Pacific Islander (U.S.)                                      0.1%                 0.1%       0.1%        N/A                N/A        N/A
                                Pan-Asian (U.S.)                                     17.1%                18.4%      19.6%        N/A                N/A        N/A
                               Multi-race (U.S.)                                      0.8%                 0.8%       0.8%        N/A                N/A        N/A
                        Technical representation                                       N/A                  N/A        N/A        N/A                N/A        N/A
                                  Women (Global)                                     30.1%                30.6%      31.1%        N/A                N/A        N/A
                                    Black (U.S.)                                      6.6%                 7.1%       6.8%        N/A                N/A        N/A
                                 Hispanic (U.S.)                                      6.7%                 7.0%       6.8%        N/A                N/A        N/A
                          Native American (U.S.)                                      0.2%                 0.3%       0.3%        N/A                N/A        N/A
         Native Hawaiian/Pacific Islander (U.S.)                                      0.2%                 0.2%       0.2%        N/A                N/A        N/A
                                Pan-Asian (U.S.)                                     24.5%                24.7%      23.6%        N/A                N/A        N/A
                               Multi-race (U.S.)                                      1.0%                 0.9%       0.9%        N/A                N/A        N/A
                        Executive representation                                       N/A                  N/A        N/A        N/A                N/A        N/A
                                  Women (Global)                                     28.8%                29.1%      30.2%        N/A                N/A        N/A
                                    Black (U.S.)                                      6.1%                 6.6%       6.4%        N/A                N/A        N/A
                                 Hispanic (U.S.)                                      5.5%                 5.9%       6.4%        N/A                N/A        N/A
                          Native American (U.S.)                                      0.3%                 0.5%       0.5%        N/A                N/A        N/A
         Native Hawaiian/Pacific Islander (U.S.)                                      0.1%                 0.1%       0.1%        N/A                N/A        N/A
                                Pan-Asian (U.S.)                                     15.7%                16.6%      17.6%        N/A                N/A        N/A
                               Multi-race (U.S.)                                      0.5%                 0.6%       0.7%        N/A                N/A        N/A
           Opportunities for self-identification          2023 IBM Impact Report (page 31)                  N/A        N/A        N/A                N/A        N/A
Self-identified as People with Diverse Abilities                                      1.0%                 1.0%       4.7%        N/A                N/A        N/A
                     Self-identified as Veterans                                      5.0%                 5.0%       4.9%        N/A                N/A        N/A
                       Self-identified as LGBTQ+                                      9.0%                 9.0%      10.0%        N/A                N/A        N/A
================================================================================
