primary,Stakeholder,Description (Apple engagement)
percent,N/A,N/A
N/A,Advanced Energy United,Business coalition dedicated to getting 100 percent clean energy in the U.S. (Member)
from,N/A,N/A
N/A,Aluminum Stewardship Initiative (ASI),Multistakeholder Standards and Certification organization supporting responsible sourcing within
supporting,N/A,the aluminum value chain; recently completed an audit against their Performance Standard of
through,N/A,"environmental, social, and governance criteria (Member)"
and,Asia Clean Energy Coalition (ACEC),"Renewable energy buyers, sellers, and financiers dedicated to improving policies for procurement of"
N/A,N/A,renewable energy in Asia to rapidly scale up renewable energy projects (Steering group member)
N/A,Ceres,"Nonprofit dedicated to taking action to stabilize the climate, protect water and natural resources, and"
we’re,N/A,build a just and inclusive economy (Member of the Ceres Company Network)
N/A,ChemFORWARD,Science-based nonprofit working to advance safer chemistry in product design and manufacturing
supply,N/A,N/A
N/A,N/A,(Co-design partner and chair of Technical Advisory Group)
towards,N/A,N/A
N/A,ChemSec Business Group,Multinational company forum supporting leadership in progressive chemical policy advocacy and
low-carbon,N/A,N/A
N/A,N/A,effective corporate practice of sustainable chemical management (Member)
towards,N/A,N/A
N/A,China Association of Circular Economy (CACE),Organization operating across industries and regions in China sharing our best practices in their
N/A,N/A,"conferences and workshops, and partnering with the organization on advocacy efforts focused on"
N/A,N/A,recycling and waste (Senior member)
N/A,Clean Electronics Production Network (CEPN),Twenty-member organizations working to improve chemical safety in the electronics supply chain as
N/A,N/A,part of this multistakeholder initiative (Design team member)
N/A,Clean Energy Buyers Association (CEBA),"Community of energy buyers promoting customer-driven clean energy use (Board member, serving"
safety,N/A,N/A
N/A,N/A,on the Transmission Advisory Board and the Federal Working Group
N/A,Exponential Roadmap Initiative (ERI),Accredited initiative of the UN Climate Change High-Level Champions’ Race to Zero with the purpose
shift to,N/A,"to accelerate exponential climate action and solutions through groundbreaking projects, with the"
with,N/A,mission to halve emissions before 2030 (Member)
"Jackson,",Japan Climate Leaders’ Partnership (JCLP),Coalition of Japanese companies aligning business objectives with climate goals (Executive member)
was,MIT Climate & Sustainability Consortium (MCSC),Academia and industry collaboration galvanizing the business community to have an impact on
coalition in,N/A,broad and intersecting environmental challenges (Industry Advisory Board member)
N/A,Platform for Accelerating the Circular Economy (PACE),Public-private collaboration joining global leaders in the transition to a circular economy (Board
N/A,N/A,member)
N/A,RE100,Global corporate renewable energy initiative committing to using 100 percent renewable energy
N/A,N/A,(RE100 Advisory Committee member)
N/A,Responsible Business Alliance (RBA),"Industry coalition dedicated to responsible business conduct in global supply chains (Full member,"
N/A,N/A,serving on the Board of Directors and steering committee of the Responsible Minerals Initiative)
N/A,World Business Council for Sustainable Development (WBCSD),A global community of leading businesses driving systems transformation for a better world in which
N/A,N/A,"more than 9 billion people can live well, within planetary boundaries, by mid-century (Member)"
