,,EnergyConsumption(MWh),RenewableEnergyUse (MWh),GHG Emissions(tonne (Mt) of CO2e),GHG Emissions(tonne (Mt) of CO2e),RenewableEnergyUse (MWh)
,FY 2011,"42,500",0,10,10,0
,FY 2012,"38,552,300","1,471,680","17,200","16,500",4
,FY 2013,"79,462,900","46,966,900","31,800","14,500",59
,FY 2014,"108,659,700","88,553,400","44,300","11,000",81
,FY 2015,"142,615,000","121,086,100","60,500","12,700",85
,FY 201613,"145,520,900","143,083,200","66,300","1,600",98
,FY 2017,"289,195,800","286,378,100","125,600","1,500",99
,FY 2018,"327,663,800","326,959,700","146,600",400,100
regional,FY 2019,"339,047,649","339,047,649","146,400",0,100
,FY 2020,"372,901,398","372,901,398","153,459",0,100
,FY 2021,"384,727,076","384,727,076","146,780",0,100
,FY 2022,"487,921,930","487,921,930","182,700",0,100
,FY 2023,"483,299,062","483,299,062","186,141",0,100
