Location,Renewable energy technology,Size (MW)
Australia,PV,0.5
Brazil,Wind,0.5
China mainland,PV,195
Denmark,PV,42
Denmark,Wind,17
India,PV,16
Israel,PV,5
Japan,PV,12
Mexico,Wind,0.8
Power for Impact projects,PV,1.2
Rooftop solar projects,PV,5
Singapore,PV,54
Taiwan,PV,1
Türkiye,PV,4
"Arizona, U.S.",PV,62
"California, U.S.",Biogas fuel cell,4
"California, U.S.",PV,144
"Illinois, U.S.",Wind,112
"Nevada, U.S.",PV,320
"North Carolina, U.S.",PV,164
"Oregon, U.S.",Microhydro,3
"Oregon, U.S.",PV,125
"Oregon, U.S.",Wind,200
"Texas, U.S.",Wind,25
"Virginia, U.S.",PV,134
N/A,Total,1647
