primary,Stakeholder,Description (Apple engagement)
percent,,
,Advanced Energy United,Business coalition dedicated to getting 100 percent clean energy in the U.S. (Member)
from,,
,Aluminum Stewardship Initiative (ASI),Multistakeholder Standards and Certification organization supporting responsible sourcing within
supporting,,the aluminum value chain; recently completed an audit against their Performance Standard of
through,,"environmental, social, and governance criteria (Member)"
and,Asia Clean Energy Coalition (ACEC),"Renewable energy buyers, sellers, and financiers dedicated to improving policies for procurement of"
,,renewable energy in Asia to rapidly scale up renewable energy projects (Steering group member)
,Ceres,"Nonprofit dedicated to taking action to stabilize the climate, protect water and natural resources, and"
we’re,,build a just and inclusive economy (Member of the Ceres Company Network)
,ChemFORWARD,Science-based nonprofit working to advance safer chemistry in product design and manufacturing
supply,,
,,(Co-design partner and chair of Technical Advisory Group)
towards,,
,ChemSec Business Group,Multinational company forum supporting leadership in progressive chemical policy advocacy and
low-carbon,,
,,effective corporate practice of sustainable chemical management (Member)
towards,,
,China Association of Circular Economy (CACE),Organization operating across industries and regions in China sharing our best practices in their
,,"conferences and workshops, and partnering with the organization on advocacy efforts focused on"
,,recycling and waste (Senior member)
,Clean Electronics Production Network (CEPN),Twenty-member organizations working to improve chemical safety in the electronics supply chain as
,,part of this multistakeholder initiative (Design team member)
,Clean Energy Buyers Association (CEBA),"Community of energy buyers promoting customer-driven clean energy use (Board member, serving"
safety,,
,,on the Transmission Advisory Board and the Federal Working Group
,Exponential Roadmap Initiative (ERI),Accredited initiative of the UN Climate Change High-Level Champions’ Race to Zero with the purpose
shift to,,"to accelerate exponential climate action and solutions through groundbreaking projects, with the"
with,,mission to halve emissions before 2030 (Member)
"Jackson,",Japan Climate Leaders’ Partnership (JCLP),Coalition of Japanese companies aligning business objectives with climate goals (Executive member)
was,MIT Climate & Sustainability Consortium (MCSC),Academia and industry collaboration galvanizing the business community to have an impact on
coalition in,,broad and intersecting environmental challenges (Industry Advisory Board member)
,Platform for Accelerating the Circular Economy (PACE),Public-private collaboration joining global leaders in the transition to a circular economy (Board
,,member)
,RE100,Global corporate renewable energy initiative committing to using 100 percent renewable energy
,,(RE100 Advisory Committee member)
,Responsible Business Alliance (RBA),"Industry coalition dedicated to responsible business conduct in global supply chains (Full member,"
,,serving on the Board of Directors and steering committee of the Responsible Minerals Initiative)
,World Business Council for Sustainable Development (WBCSD),A global community of leading businesses driving systems transformation for a better world in which
,,"more than 9 billion people can live well, within planetary boundaries, by mid-century (Member)"
