recognized,,,Fiscal year \n2023,2022,2021,2020,2019
,Corporate emissions,Gross emissions,"324,100","324,000","166,380","334,430","573,730"
(GHG),(metric tons CO2e)2,Scope 1,"55,200","55,200","55,200","47,430","52,730"
,,"Natural gas, diesel, propane","35,300","39,700","40,070","39,340","40,910"
,,Fleet vehicles,"17,000","12,600","12,090","4,270","6,950"
,,Other emissions3,"2,900","2,900","3,040","3,830","4,870"
,,Scope 2 (market-based)4,"3,400","3,000","2,780",0,0
,,Electricity,0,0,0,0,0
,,"Steam, heating, and cooling5","3,400","3,000","2,780",0,0
,,Scope 3,"412,800","265,800","108,400","287,000","521,000"
,,Business travel,"225,700","113,500","22,850","153,000","326,000"
,,Employee commute6,"164,100","134,200","85,570","134,000","195,000"
,,Upstream impacts (scope 1),"18,300","10,600",0,0,0
,,Work from home (market-based),"4,700","7,500",0,0,0
,,Transmission and distribution loss (market-based),N/A,N/A,N/A,N/A,N/A
,,Third-party cloud (market-based),0,0,0,0,0
,,Carbon removals,,,,,
,,Corporate carbon offsets7,"-471,400","-324,1008","-167,0009","-70,00010",0
,Product life,Gross emissions (Scope 3),"15,570,000","20,280,000","23,020,000","22,260,000","24,460,000"
,cycle emissions,Manufacturing (purchased goods and services),"9,400,000","13,400,000","16,200,000","16,100,000","18,900,000"
,(metric tons CO2e)11,Product transportation (upstream and downstream),"1,500,000","1,900,000","1,750,000","1,800,000","1,400,000"
,,Product use (use of sold products),"4,600,000","4,900,000","4,990,000","4,300,000","4,100,000"
,,End-of-life processing,"70,000","80,000","80,000","60,000","60,000"
,,Carbon removals,,,,,
,,Product carbon offsets,"-13,500",0,"-500,00012",0,0
,Total gross scope 3,emissions (corporate and product) (metric tons CO2e),"15,980,000","20,545,800","23,128,400","22,550,000","24,980,000"
,Total gross carbon,footprint (without offsets) (metric tons CO2e)13,"16,100,000","20,600,000","23,200,000","22,600,000","25,100,000"
,Total net carbon footprint,(after applying offsets) (metric tons CO2e)12,"15,600,000","20,300,000","22,530,000","22,530,000","25,100,000"
