,Introduction,2,Appendix,60
,Executive letter,3,About Google,61
,Our sustainability strategy,5,Sustainability governance,61
,2023 highlights,6,Risk management,61
,Targets and progress summary,7,Stakeholder engagement,62
,Searching for sustainability,8,and partnership,
,,,Multi-sector products,67
,AI for sustainability,9,Ecosystems for collaboration,68
,,,Environmental data,70
,Our products,14,Certifications,80
,Mitigation,16,Recognitions,80
,Adaptation and resilience,23,Endnotes,81
,Our operations,27,,
,Net-zero carbon,29,,
,Water stewardship,42,,
,Circular economy,49,,
,Nature and biodiversity,56,,
