CARBON-FREE \nGlobal average,ENERGY (CFE) \nCFE,,Unit,2019,2020,2021,2022,2023,DATA \nCountry,CENTER,GRID REGION CFE \nRegional grid6 Regional grid7,Unit,Google CFE,Contracted CFE,2023 \nConsumed Grid CFE,Grid CFE %
CFE across,Google data centers (hourly),,% 61,67,66,,64,64,Indonesia,,Perusahaan Listrik Negara (PLN),%,13,0,13,13
CFE across,Google offices (hourly),,% -,-,-,,541,56,,,,,,,,
,,,,,,,,,Ireland,,EirGrid,%,43,0,43,43
CFE across,Google data centers and offices (hourly),,% -,-,-,,64,64,,,,,,,,
,,,,,,,,,Israel,,Israel Electric Corporation (IEC),%,5,0,5,5
Regional,average CFE across Google data centers,,Unit,2019,2020,2021,2022,20232,Italy,,Terna,%,52,0,52,52
North America,- East3,,% -,-,-,,-,47,Japan,,Kansai Electric Power Company (KEPCO),%,30,0,30,30
North America,- Central4,,% -,-,-,,-,91,Japan,,TEPCO Power Grid (TEPCO),%,16,0,16,16
North America,- West5,,% -,-,-,,-,63,Netherlands,,Tennet,%,80,61,19,58
"Europe, Middle","East, & Africa",,% -,-,-,,-,83,Poland,,Polskie Sieci Elektroenergetyczne (PSE),%,31,0,31,31
Latin America,,,% -,-,-,,-,91,,,,,,,,
,,,,,,,,,Qatar,,Kahramaa,%,0,0,0,0
Asia Pacific,,,% -,-,-,,-,12,,,,,,,,
,,,,,,,,,Saudi Arabia,,National Grid SA,%,0,0,0,0
Global CFE,across Google data centers,,% -,-,-,,-,64,,,,,,,,
,,,,,,,,,Singapore,,Energy Market Authority of Singapore,%,4,0,4,4
DATA CENTER,GRID REGION CFE,,,,2023,,,,South Africa,,Eksom,%,16,0,16,16
,,,,Contracted,,Consumed,Grid,,South Korea,,Korea Power Exchange (KPX),%,35,0,35,35
Country,Regional grid6,Unit,Google,,,,,,,,,,,,,
,,,CFE,CFE,,Grid,CFE CFE,%,,,,,,,,
,,,,,,,,,Spain,,Red Eléctrica,%,76,0,76,76
Australia,Australian Energy Market Operator,%,33,0,,33,,33,,,,,,,,
,"(AEMO), New South Wales (NSW)",,,,,,,,Switzerland,,Swissgrid,%,92,0,92,92
,Australian Energy Market Operator,,,,,,,,Taiwan,,Taiwan Power Company,%,18,1,17,18
Australia,"(AEMO), Victoria",%,40,0,,40,,40,,,,,,,,
,,,,,,,,,United States,,Bonneville Power Administration (BPA),%,84,0,84,84
Belgium,Elia,%,82,35,,47,,74,,,,,,,,
,,,,,,,,,,,California Independent System Operator,,,,,
,Operador Nacional do Sistema Elétrico,,,,,,,,United States,,,%,55,0,55,55
Brazil,(ONS),%,90,0,,90,,90,,,(CAISO),,,,,
,,,,,,,,,United States,,Duke Energy Carolinas (DUKE),%,63,11,52,59
Canada,Hydro-Québec,%,100,0,,100,,100,,,,,,,,
,,,,,,,,,,,Electric Reliability Council of Texas,,,,,
,The Independent Electricity System,,,,,,,,United States,,,%,79,61,18,41
Canada,,%,87,0,,87,,87,,,(ERCOT),,,,,
,Operator (IESO),,,,,,,,,,,,,,,
,,,,,,,,,,,Midcontinent Independent System,,,,,
Chile,Sistema Interconectado Central,%,91,75,,16,,61,United States,,Operator (MISO),%,95,93,2,34
Denmark,Energinet,%,92,43,,49,,86,United States,,NV Energy (NVE),%,26,0,26,26
Finland,Fingrid,%,98,77,,21,,92,United States,,PacifiCorp East (PACE),%,29,0,29,29
France,Réseau de Transport d’Électricité (RTE),%,94,0,,94,,94,United States,,PJM Interconnection (PJM),%,52,19,33,41
Germany,Germany,%,90,73,,17,,64,United States,,Salt River Project (SRP),%,48,0,48,48
,,,,,,,,,,,South Carolina Public Service Authority,,,,,
Great Britain,National Grid ESO,%,92,76,,16,,65,United States,,,%,29,6,23,24
,,,,,,,,,,,(Santee Cooper),,,,,
,CLP Power Hong Kong Limited,%,28,0,,28,,28,United States,,Southern Company (SOCO),%,42,17,25,30
Hong Kong,(CLP Power),,,,,,,,,,,,,,,
India,Northern India Regional Grid,%,29,0,,29,,29,United States,,Southwest Power Pool (SPP),%,87,80,7,47
India,Western India Regional Grid,%,14,0,,14,,14,United States,,Tennessee Valley Authority (TVA),%,65,24,41,53
