WATER USE BY DATA CENTER LOCATION \nLocation,Unit,Withdrawal,,2023 \nDischarge,,Consumption,Golf course \nequivalents (estimated)1,WATER USE BY DATA CENTER LOCATION \nLocation,Unit,Withdrawal,Discharge,2023,Consumption,Golf course \nequivalents (estimated)5
"Ashburn, VA Potable water",Million gallons,57.9 57.9,3.3,,54.6,,<1,"Lockbourne, OH Potable water",Million gallons,31.8 31.8,8.5,23.3,,<1
"Berkeley County, SC Potable water",Million gallons,847.2 847.2,83.8,,763.4,,5.1,"Mayes County, OK Potable water",Million gallons,"1,037.1 1,037.1",222.0,815.1,,5.4
"Council Bluffs, IA Potable water",Million gallons,"1,334.9 1,334.9",,354.8,980.1,,6.5,"Middenmeer, Netherlands Potable water",Million gallons,7.1 7.1,2.1,5.0,,<1
"The Dalles, OR Potable water",Million gallons,383.7 383.7,81.3,,302.4,,2.0,"Midlothian, TX Potable water",Million gallons,164.3 164.3,28.5,135.8,,<1
"Douglas County, GA Potable water",Million gallons,418.8 34.5,73.2,,345.6,,2.3,"Montgomery County, TN Potable water",Million gallons,342.0 342.0,53.4,288.6,,1.9
"Reclaimed wastewater2 Dublin, Ireland3",Million gallons,384.3 0.6,0.5,,0.1,,,"Montreal, Canada6 Potable water",Million gallons,0.04 0.04,0.03,0.01,,<1
Potable water Netherlands,Million,0.6 296.4,64.4,,232.0,,<1,"New Albany, OH Potable water",Million gallons,152.0 152.0,24.9,127.1,,<1
"Eemshaven, Potable water Non-potable water4",gallons,2.1 294.3,,,,,1.5,"Papillion, NE Potable water",Million gallons,164.2 164.2,29.5,134.7,,<1
"Frankfurt, Germany Potable water",Million gallons,2.2 2.2,1.8,,0.4,,<1,"Quilicura, Chile Potable water",Million gallons,190.7 190.7,85.5,105.2,,<1
"Fredericia, Denmark Potable water",Million gallons,27.0 27.0,6.3,,20.7,,<1,"St. Ghislain, Belgium Potable water",Million gallons,348.9 22.3,104.7,,244.2,1.6
"Hamina, Finland Potable water",Million gallons,3.0 3.0,2.7,,0.3,,<1,"Non-potable water7 Sterling, VA",Million gallons,326.6 81.0,25.4,55.6,,<1
"Henderson, NV Potable water",Million gallons,273.8 273.8,115.0,,158.8,,1.1,"Potable water Storey County, NV8",Million gallons,81.0 1.9,1.7,0.2,,<1
"Inzai, Japan Potable water",Million gallons,11.2 11.2,4.4,,6.8,,<1,"Potable water Sydney, Australia9",Million gallons,1.9 0.9,0.8,0.1,,
"Jackson County, AL Potable water",Million gallons,159.8 159.8,17.6,,142.2,,<1,Potable water Other data center locations,Million gallons,0.9 698.5,57.9,,640.6,<1
"Lancaster, OH Potable water",Million gallons,15.4 15.4,7.7,,7.7,,<1,Potable water Non-potable water Reclaimed wastewater,,31.1 296.6 370.8,,,,4.3
"Leesburg, VA Potable water",Million gallons,246.8 246.8,73.6,,173.2,,1.2,Data centers total Potable water,Million gallons,"7,657.2 5,984.6","1,556.6",,"6,100.6",
"Lenoir, NC Potable water",Million gallons,358.1 358.1,21.3,,336.8,,2.2,Non-potable water Reclaimed wastewater,,917.5 755.1,,,,40.7
