FY,2019/20,2020/21,2021/22,2022/23,2023/24
Total number of employees,"63,000","71,500","75,000","77,000","69,5001"
"By region2,3",,,,,
Americas,18%,14%,14%,14%,15%
Asia Pacific (excluding China),12%,10%,11%,15%,15%
China,62%,69%,67%,62%,60%
EMEA,8%,7%,8%,9%,10%
"Employees by gender2,4",,,,,
Male,64%,64%,63%,63%,63%
Female,36%,36%,37%,37%,37%
"Employees in technical roles by gender2,4",,,,,
Male,72%,72%,71%,71%,71%
Female,28%,28%,29%,29%,29%
"Executives by gender2,4",,,,,
Male,82%,79%,80%,79%,78%
Female,18%,21%,20%,21%,22%
Employees by employment type3,,,,,
Regular employees,n/a,73%,80%,89%,93%
Long-term plant contractors,n/a,27%,20%,11%,7%
"By age group2,4",,,,,
Under 30 years of age,n/a,15%,15%,15%,14%
30-50 years of age,n/a,73%,73%,72%,72%
Over 50 years of age,n/a,12%,12%,13%,14%
