Objectives,Metric/KPI,Target(s),Status,Notes
,,Promote Forest Stewardship Council (FSC) certification among suppliers of corrugated parts.,Target met,For Infrastructure Solutions Group (ISG) business group only.
,,Introduce recycled plastic bag (made from 30% ocean bound recycle).,Target met,For all ISG business group products.
,,Identify five new Lenovo products for which to implement use of 100% renewable bio-based packaging.,Target met,
Increase sustainable materials in packaging.,% Recycled content or sustainable material,"By FY 2025/26, 60% of smartphone packaging will be made from recycled materials.",Long term target: on track,Excludes Lenovo smartphone packaging. Includes RAZR smartphone packaging starting in FY 2023/24.
,,"By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials.",Long term target: on track,"Measured by weight and excludes tablets, accessories, and monitors."
,,"By FY 2025/26, smartphone packaging will use 50% less single-use plastics and reduce in size/volume by 10%.",Long term target: on track,Relative to FY 2020/21. Excludes Lenovo smartphone packaging. Includes RAZR smartphone packaging starting in FY 2023/24.
Objectives,Metric/KPI,Target(s),Status,Notes
Location aspects: Site,air emissions,,,
Absolute reduction in CO2e emissions from Lenovo operations worldwide.,Metric tons CO2e,Reduce absolute Scope 1 and 2 GHG emissions by 50% by FY 2029/30 from a FY 2018/19 base year.,Long term target: on track,"This goal may be accomplished through energy efficiency, installation of onsite renewable generation, entry into power purchase agreements (PPA) with power providers, and/or the purchase of renewable energy. Scope 2 emissions are market-based."
