Statement of use \nGRI 1 used \nGRI Standard,"The Company has reported the period April 1, 2023 to March 31, \nGRI 1: Foundation 2021 \nDisclosure",information cited 2024 with reference \nPage number(s),in this GRI content index for the to the GRI Standards. \nOther reference material(s)
,Organizational profile,,
,2-1 Organizational details,11,
,2-2 Entities included in the organization’s sustainability reporting,"10, 135",
,"2-3 Reporting period, frequency and contact point",10,
,2-4 Restatements of information,109,
,2-5 External assurance,10,
GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business","11, 135",
,relationships 2-7 Employees,104-105,
,2-22 Statement on,4-7,
,sustainable development strategy 2-27 Compliance with laws,73,
,and regulations 2-28 Membership,134,
,associations 2-29 Approach to,12-13,
,stakeholder engagement 3-1 Process to determine,12-13,
GRI 3: Material Topics 2021,material topics 3-2 List of material topics,12-13,
Economic topics,,,
Economic Performance,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,70-73,
GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,22,FY 2023/24 Annual Report’s Management’s discussion & analysis
Procurement Practices,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,88-98,
GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,88,
