GRI Standard,Disclosure,Page number(s),Other reference material(s)
Anti-corruption,,,
GRI 3: Material Topics 2021,3-3 Management of material topic 205-2 Communication and,"73, 77-79 77-79",
GRI 205: Anti-corruption 2016,training about anti-corruption policies and procedures,"73,",
Anti-competitive,Behavior,,
GRI 3: Material Topics 2021,3-3 Management of material topic 206-1 Legal actions for,"73, 77-79 74, 77-79",
GRI 206: Anti-competitive Behavior 2016,"anti-competitive behavior, anti-trust, and monopoly practices",,
Environmental topics,,,
Materials GRI 3: Material,3-3 Management of material,"18, 27-31, 37-39",
Topics 2021,topic 301-1 Materials used by,115,
GRI 301: Materials 2016,weight or volume 301-2 Recycled input,"27-31, 37-39, 115",
Energy,materials used,,
GRI 3: Material,3-3 Management of material,"18, 23-24",
Topics 2021,topic,,
,302-1 Energy consumption within the organization,111-112,
,302-3 Energy intensity,112,
GRI 302: Energy 2016,302-4 Reduction of energy consumption,23-24,
,302-5 Reductions in energy requirements of products,32-34,
Water and Effluents,and services,,
GRI 3: Material,3-3 Management of material,"18, 26-27",
Topics 2021,topic 303-1 Interactions with water as a shared resource,26-27,
GRI 303: Water and,303-3 Water withdrawal,114,
Effluents 2018,303-4 Water discharge,114,
,303-5 Water consumption,114,
Emissions,,,
GRI 3: Material Topics 2021,3-3 Management of material topic,18-22,
