“Comply,or explain” Provisions,Page number(s),Other reference material(s)
Subject,Area A. Environmental,,
Aspect,A1: Emissions,,
General (a) (b) relating water waste. Note:,"Disclosure Information on: the policies; and compliance with relevant laws and regulations that have a significant impact on the issuer to air and greenhouse gas emissions, discharges into and land, and generation of hazardous and nonhazardous Air emissions include NOx, SOx, and other pollutants regulated under national laws and regulations. Greenhouse gases include carbon dioxide,",18-27,"The Company is not aware of any significant non-compliance incidents related to air and greenhouse gas emissions, discharges into water and land, and generation of hazardous and nonhazardous waste."
,"methane, nitrous oxide, hydrofluorocarbons, perfluorocarbons and sulphur hexafluoride. Hazardous wastes are those defined by national regulations.",,
KPI A1.1,The types of emissions and respective emissions data.,109-110,
KPI,"Direct (Scope 1) and energy indirect (Scope 2) greenhouse gas emissions (in tonnes) and, where appropriate, intensity (e.g. per unit of production volume, per facility).",109-110,
A1.2,– Scope 1 emissions,109-110,
,– Scope 2 emissions,109-110,
KPI A1.3,"Total hazardous waste produced (in tonnes) and, where appropriate, intensity (e.g. per unit of production volume, per facility).",113,
KPI A1.4,"Total nonhazardous waste produced (in tonnes) and, where appropriate, intensity (e.g. per unit of production volume, per facility).",113,
KPI A1.5,Description of emissions target(s) set and steps taken to achieve them.,"20-21, 119, 122, 124-125, 128",
KPI A1.6,"Description of how hazardous and nonhazardous wastes are handled, and a description of reduction target(s) set and steps taken to achieve them.","25-26, 120-124, 128-129",
