================================================================================
Table 37
================================================================================
                                           FY             2019/20    2020/21    2021/22    2022/23    2023/24
 GHG emissions intensity (metric tons per US$    million revenue)        N/A        N/A        N/A        N/A
               Scope 1 and 2 (location-based)                3.36       3.04       2.76       3.37       3.55
        Scope 1 emissions by market (MT CO2e)                 N/A        N/A        N/A        N/A        N/A
                                       Brazil                 340        202         57         31         23
                             Chinese Mainland               3,190      3,826      3,719      2,401      1,978
                                Taiwan, China                   0          0          –          –        316
                                      Germany                 652        731        831        720        650
                                      Hungary                   –          –        379        132        151
                                        India                  84        104         58         44         33
                                        Japan                 191        216        226        202        194
                                       Mexico                 625         97         80        340        151
                                United States               2,484      1,931        525        896        697
                           Rest of the World1                 200        162        195        158        776
 Scope 2 emissions (location-based) by market           (MT CO2e)        N/A        N/A        N/A        N/A
                                       Brazil               1,566      1,321      1,361      1,087      1,525
                             Chinese Mainland             124,336    147,375    159,278    165,443    159,974
                                Taiwan, China               2,091      2,231      2,962      4,811      5,537
                                      Germany               1,612      1,249      1,036        961        813
                                      Hungary                   –          –      1,219      2,080      1,840
                                        India               2,914      2,690      2,954      2,817      3,138
                                        Japan               5,754      5,133      4,794      4,552      4,374
                                       Mexico               5,029      5,543      6,272      8,282      8,044
                                United States              15,220      8,939      8,489      9,640      8,690
                           Rest of the World1               4,075      3,197      3,412      2,768      2,924
Scope 3 emissions – Product transportation by transportation mode (MT CO2e)2        N/A        N/A        N/A
                                          Air             496,367    744,009    657,882    477,172    312,443
                    Rail and inland waterways               8,232     14,702      5,623        332        261
                                     Roadways             105,999     45,071     67,091     51,426     30,887
                                          Sea               5,817     11,480      7,383      8,516     16,561
================================================================================
