================================================================================
Table 41
================================================================================
                                                FY    2019/20    2020/21    2021/22    2022/23    2023/24
                     Water withdrawal (megaliters)        N/A        N/A        N/A        N/A        N/A
                                      All areas1,2      1,307      1,428      1,567      1,499      1,420
                           By source (% of total):        N/A        N/A        N/A        N/A        N/A
                                       Groundwater        n/a        <1%        <1%        <1%        <1%
                                     Third parties        n/a       >99%       >99%       >99%       >99%
                          Areas with water stress3        322        343        377        330        731
                           By source (% of total):        N/A        N/A        N/A        N/A        N/A
                                       Groundwater        n/a        <1%        <1%        <2%        <1%
                                    Third parties4        n/a       >99%       >99%       >98%       >99%
                                     Surface water        n/a        72%        73%        77%        90%
                                       Groundwater        n/a         8%         9%        10%         3%
                      Water discharge (megaliters)        N/A        N/A        N/A        N/A        N/A
                                        All areas1      1,183      1,294      1,469      1,481      1,400
                      By destination (% of total):        N/A        N/A        N/A        N/A        N/A
                                       Groundwater        n/a        <1%        <1%        <1%        <1%
                                     Third parties        n/a       >99%       >99%       >99%       >99%
                          Areas with water stress3        298        326        371        323        720
                            Wastewater exceedances          0          0          1          0          0
                    Water consumption (megaliters)        N/A        N/A        N/A        N/A        N/A
                                        All areas1        124        134         98         18         20
                          Areas with water stress3         24         17          5          7         11
Water intensity metrics (cubic meters per person)5        N/A        N/A        N/A        N/A        N/A
                              Withdrawal intensity        n/a         20         21         19         20
                               Discharge intensity        n/a         18         20         19         20
                             Consumption intensity        n/a          2          1        0.2        0.3
================================================================================
