Fuel consumption,2017,2018,2019,2020,2021,2022
Natural gas (therms),-,-,-,-,"6,153,856","7,539,592"
Diesel — diesel fuel (gal),-,-,-,-,"363,082","1,376,871"
Diesel — distillate fuel oil No.4 (gal),-,-,-,-,"842,460","724,151"
Gasoline (gal),-,-,-,-,"52,375","119,955"
Propane (gal),-,-,-,-,0,0
Renewable fuels,,,,,,
Hydrotreated vegetable oil (gal),-,-,-,-,0,0
2.4 Data center operations,and design,,,,,
Power usage effectiveness,(PUE),,,,,
,2017,2018,2019,2020,2021,2022
PUE (data center energy efficiency),1.10,1.11,1.11,1.10,1.09,1.08
Sustainable design,,,,,,
Green building standards for,data centers,and offices (% of,sq ft covered by,green building,standards and/or,EnMS)
,2017,2018,2019,2020,2021,2022
Total,-,-,-,-,98%,99%
"Data centers (LEED Gold or above, or ISO 50001)",-,-,-,-,100%,100%
Offices (LEED Gold or,-,-,-,-,97%,98%
