================================================================================
Table 30
================================================================================
Water withdrawal \nWater withdrawal by facility (in cubic meters) \n2017       2018       2019       2020       2021       2022
                         Total water withdrawal                1,609,000  2,367,000  3,430,000  3,726,000  5,042,564  4,893,023
                             Data centers total                1,139,000  1,730,000  2,731,000  3,000,000  3,417,791  3,618,003
                                    Altoona, IA                  106,000    139,000    145,000    151,000    140,231    199,378
                                Clonee, Ireland                   10,000    188,000    395,000    615,000    927,914    838,654
                                     Dekalb, IL                        -          -          -          -          0     29,659
                             Eagle Mountain, UT                        -          -          -          -     57,701     89,366
                                Forest City, NC                  129,000     99,000     85,000     68,000     64,053     62,853
                                 Fort Worth, TX                   98,000    269,000    322,000    300,000    253,520    346,115
                                   Gallatin, TN                        -          -          -          -          0          0
                                   Richmond, VA                        -          -          -     42,000     80,478     54,994
                                 Huntsville, AL                        -          -          -          -     38,520    103,501
                                  Los Lunas, NM                        -     25,000     92,000    140,000    152,666    161,436
                                  Luleå, Sweden                   66,000     53,000     58,000     49,000     38,922     25,358
                                 New Albany, OH                        -          -     33,000     35,000    121,194     87,413
                              Newton County, GA                        -          -          -          -    105,121     77,203
                                Odense, Denmark                        -          -    266,000    360,000    373,355    427,937
                                  Papillion, NE                        -          -     62,000    108,000    106,339    100,912
                                 Prineville, OR                  172,000    160,000    208,000    445,000    353,951    240,302
================================================================================
