Production site,RBA Audit Compliance rate,Labor,Health and safety,Environment,Ethics
Vietnam (SEHC),98.7%(1),100%,95.2%(1),100%,100%
Vietnam (SEVT),100%,100%,100%,100%,100%
Egypt (SEEG-P),100%,100%,100%,100%,100%
Brazil (SEDA-P(C)),100%,100%,100%,100%,100%
Mexico (SAMEX),100%,100%,100%,100%,100%
Mexico (SEM-P),97.6%(2),92.3%(2),100%,100%,100%
Malaysia (SEMA),100%,100%,100%,100%,100%
Korea (Cheonan),100%,100%,100%,100%,100%
Korea (Giheung),100%,100%,100%,100%,100%
Korea (Hwaseong),100%,100%,100%,100%,100%
Korea (Onyang),98.7%(1),96.1%(1),100%,100%,100%
Korea (Pyeongtaek),98.7%(1),96.0%(1),100%,100%,100%
China (SCS),97.5%(2),95.8%(1),95.2%(1),100%,100%
China (SESS),96.3%(3),96.0%(1),91.3%(2),100%,100%
