Category,Details,2022 Performance,· Comprehensive
,,,assessments
,"Introductory training,","· Conducted 746,057 hours",· One-on-one
Employees,legally required basic,of training,employees
,"training, safety leadership training for executives","· Training 172,510 employees",Focused
,,,· High-risk
,,,results
Staff in charge,"Internal auditor training,","· Conducted 32,866 hours",· Integrated
of environment/,specialist cultivation,of training,"physicians,"
safety (Korea),"training, legally required continuing training","· Training 5,242 employees",glucose
,,,On-Site
,,,· In-house
Staff in charge,,"· Conducted 1,123,484 hours",· Musculoskeletal
of environment/,Training developed by individual sites,of training,· Health
safety (Global),,"· Trained 102,871 employees",Contact-Free
