Item,Description,No. of Findings,Details,reinforce ESG management performance
,Prohibition of forced labor,3,"Failure to reimburse recruitment fees, renew collective bargaining agreements, and cover pre-employment physical assessment fees","supply chain, the DS Division has offered"
,Establishment of forced labor prohibition policies and procedures,-,,"and consulting service for our suppliers Ecredible, a corporate management assessment"
Freely chosen employment,Employment contract signing in native language,5,Failure to include essential information in contracts and comply with cap on temporary worker ratios,2022. Our 95 small and medium-sized performed self-diagnoses as well as third-party
,Prohibition of the storage of an original copy of ID,1,Failure to establish relevant policies,provided advanced ESG management rated suppliers after actual inspections.
,Guarantee of the freedom of movement,-,,
Prohibition of,Prohibition of child labor,-,,
child labor,Establishment of child labor prohibition policies and procedures,-,,[DS Division] ESG Diagnosis and Consulting
Protection of,Protection of underage workers,1,Failure to establish relevant policies,
underage workers,Protection of trainees and interns,-,,1. Basic and advanced ESG training
,Accurate calculation and payment of wage,5,Failure to pay overtime work allowances and provide record of work hours,2. Online self-diagnosis
Wage and welfare benefits,Issuance of pay slips and prohibition on delay in wage payment,4,Failure to adhere to company payout policy and comply with legal cap on severance pay,3. Third-party due diligence
,Prohibition of unfair penalty imposition,1,Wage reduction as a disciplinary measure (e.g. product damage),
,Prohibition of inhumane treatment,1,Failure to establish relevant policies and conduct trainings,4. Diagnosis report
Humane treatment,Establishment of humanitarian treatment policies and procedures,-,,5. Selection of the lowest 30%
,Recording and management of disciplinary measures taken,-,,6. Advanced ESG management
,Prohibition of discrimination based on gender and other personal traits,1,Hepatitis B screening for new hires,7. Improvement monitoring
Non￾discrimination,Establishment of discrimination prohibition policies and procedures,-,,
,Provision of space for religious activities,-,,8. Diagnosis result disclosure
,Guarantee of the right to establish and join labor unions,6,Failure to provide record of worker representation elections and recognize unionized workers,
Freedom of,Guarantee of the right for collective bargaining,3,Failure to renew union activity agreements and recognize employees participating in collective bargaining,
association,Prohibition of discrimination against labor union members,-,,
