Labor and human rights,,2020,2021,2022
Number of employees,,,,
Number of employees1),Persons,"267,937","266,673","270,372"
Global*,Persons,"161,607","155,547","152,445"
Korea,Persons,"106,330","111,126","117,927"
Number of employees by employment type,,,,
Non-fixed-term employees,Persons,"264,030","262,794","266,705"
Fixed-term employees2),Persons,"3,907","3,879","3,667"
Number of employees by age group,,,,
Under 30,Persons,"99,823","89,911","83,169"
30s,Persons,"106,236","108,469","111,651"
40 and above,Persons,"56,380","68,293","75,552"
Number of employees by job type3),,,,
Development,Persons,"71,539","75,229","80,496"
Manufacturing,Persons,"127,256","122,809","117,190"
Quality assurance and EHS,Persons,"19,354","19,459","19,763"
Sales and marketing,Persons,"22,704","23,267","24,716"
Others,Persons,"27,084","25,909","28,207"
Number of employees by rank,,,,
Working level4),Persons,"190,507","184,739","182,367"
Manager level,Persons,"76,057","80,540","86,548"
Executive level5),Persons,"1,373","1,394","1,457"
Number of employees by region,,,,
Korea,Persons,"106,330","111,126","117,927"
"Southeast Asia, Southwest Asia, and Japan",Persons,"101,929","94,583","88,992"
China,Persons,"18,099","17,820","17,891"
North America and Central and South America,Persons,"25,004","25,695","27,166"
Europe,Persons,"12,861","12,704","11,710"
Middle East,Persons,"3,160","4,171","4,303"
CIS (Commonwealth of Independent States),Persons,"1,748","1,739","1,756"
Africa,Persons,554,574,627
