Ethics,,2020,2021,2022
Corporate ethics,%,96,98,100
Prohibition of ill-gotten gains,%,94,98,100
Information disclosure,%,97,100,100
Intellectual property,%,100,100,99
Confidentiality and prohibition of retaliation,%,97,100,100
Privacy protection,%,100,99,100
Management System,,,,
Will for compliance,%,99,100,98
Management responsibility,%,96,100,95
Risk assessment,%,87,97,92
Training,%,95,100,98
Communication,%,96,99,97
Employee feedback,%,100,99,100
Remedial action,%,91,98,95
Management of business improvement targets,%,90,98,93
