GHG emissions management (Scope 3),,2020,2021,2022
Other indirect emissions (Scope 3),"1,000 tonnes CO2e",,,"124,715"
Purchased products and services,"1,000 tonnes CO2e",,,"14,596"
Capital goods,"1,000 tonnes CO2e",,,"1,508"
Fuel- and energy-related activities,"1,000 tonnes CO2e",,,900
Upstream transportation and distribution,"1,000 tonnes CO2e",,,"3,965"
Waste generation and treatment,"1,000 tonnes CO2e",,,246
Business trips of employees,"1,000 tonnes CO2e",,,87
Commuting of employees,"1,000 tonnes CO2e",,,303
Rented assets,"1,000 tonnes CO2e",,,107
Downstream transportation and distribution,"1,000 tonnes CO2e",,,366
Processing of sold products,"1,000 tonnes CO2e",,,142
Use of sold products,"1,000 tonnes CO2e",,,"101,236"
Discard of sold products,"1,000 tonnes CO2e",,,"1,206"
Leased assets,"1,000 tonnes CO2e",,,1
Investment,"1,000 tonnes CO2e",,,52
