by year product \nAmount of e-waste collected by year and product type,type1) \nTonnes,"113,850","120,718","132,681"
Heat exchanger,Tonnes,"97,544","75,463","75,879"
Telecommunications service equipment,Tonnes,"6,948","9,249","10,644"
Display,Tonnes,"4,170","3,292","1,930"
Other electric and electronics equipment,Tonnes,"5,188","32,715","44,228"
Amount of materials recovered for recycling2),,,,
Amount of materials recovered for recycling,Tonnes,"97,815","103,716","111,406"
Scrap metal,Tonnes,"52,666","55,843","57,763"
Nonferrous metal,Tonnes,"11,779","12,489","11,996"
Synthetic resin,Tonnes,"26,741","28,354","33,157"
Glass,Tonnes,"2,883","3,057","4,068"
Others,Tonnes,"3,747","3,973","4,422"
