Waste management,,2020,2021,2022
Amount of waste generated,,,,
Amount of waste generated,Tonnes,"1,181,741","1,324,972","1,413,365"
General waste,Tonnes,"835,875","903,753","931,929"
Hazardous waste1),Tonnes,"345,866","421,219","481,436"
Amount of waste treated,,,,
Amount of waste treated,Tonnes,"1,181,741","1,324,972","1,413,365"
Amount of waste recovered for recycling,Tonnes,"1,125,037","1,268,985","1,364,367"
Incineration (off-site),Tonnes,"23,346","26,078","25,479"
Landfill (off-site),Tonnes,"19,758","19,480","14,927"
Others,Tonnes,"13,600","10,430","8,593"
Percentage of waste recovered for recycling,,,,
Percentage of waste recovered for recycling,%,95,96,97
