Environment,,DX \n2021,2022,DS \n2021,2022,Total \n2021,2022
GHG emissions from business sites1),"1,000 tonnes CO2e","1,790",366,"15,610","14,687","17,400","15,053"
Direct emissions,"1,000 tonnes CO2e",263,254,"7,341","5,718","7,604","5,972"
Indirect emissions,"1,000 tonnes CO2e","1,527",112,"8,269","8,969","9,796","9,081"
Other indirect emissions,"1,000 tonnes CO2e",,"109,951",,"14,764",,"124,715"
Energy consumption at business sites,GWh,"4,396","4,327","27,926","30,850","32,322","35,177"
Electricity,GWh,"3,143","3,067","22,624","25,249","25,767","28,316"
Others,GWh,"1,253","1,260","5,302","5,601","6,555","6,861"
Renewable energy consumption,GWh,556,"2,856","4,722","5,849","5,278","8,704"
Transition to renewable energy,%,18,93,21,23,20,31
Waste generated,Tonnes,"348,427","329,861","976,545","1,083,504","1,324,972","1,413,365"
General waste,Tonnes,"290,851","274,126","612,902","657,803","903,753","931,929"
Hazardous waste2),Tonnes,"57,576","55,735","363,643","425,701","421,219","481,436"
Water intake,"1,000 tonnes","19,392","18,822","144,269","153,988","163,660","172,811"
Municipal water (surface water),"1,000 tonnes","18,833","18,124","144,269","153,988","163,102","172,113"
Underground water3),"1,000 tonnes",558,698,0,0,558,698
Chemicals consumption at business sites4),"1,000 tonnes",8,6,512,572,520,578
