Category,Scope3 Emissions
Purchased goods & services,"14,596"
Capital goods,"1,508"
Fuel-and Energy-Related Activities Not Included in Scope1 or Scope2,900
Upstream Transportation and Distribution,"3,965"
Waste Generated in Operations,246
Business Travel,87
Employee Commuting,303
Upstream Leased Assets,107
Downstream Transportation and Distribution,366
Processing of sold products,142
Use of Sold Products,"101,236"
End-of-Life Treatment of Sold Products,"1,206"
Downstream Leased Assets,
Franchise,N/A
Investments,52
Total,"124,715"
