================================================================================
Table 31
================================================================================
                      Diversity and inclusion                  2020       2021       2022
               Percentage of female employees        N/A        N/A        N/A        N/A
             Percentage of female employees1)          %       37.3       36.3       35.1
 Percentage of female employees by job type2)        N/A        N/A        N/A        N/A
                                  Development          %       18.0       18.8       19.2
                                Manufacturing          %       48.9       46.8       45.1
                    Quality assurance and EHS          %       41.3       42.3       40.8
                          Sales and marketing          %       31.5       32.3       33.6
                                       Others          %       35.8       36.0       35.9
     Percentage of female employees by region        N/A        N/A        N/A        N/A
                                        Korea          %       24.9       25.1       25.2
    Southeast Asia, Southwest Asia, and Japan          %       52.7       51.4       49.5
                                        China          %       33.4       33.8       34.2
  North America and Central and South America          %       35.4       34.9       34.4
                                       Europe          %       33.8       34.0       40.1
                                  Middle East          %       11.3       14.5       15.6
                                       Africa          %       42.4       42.5       42.6
       Percentage of female employees by rank        N/A        N/A        N/A        N/A
                                Working level          %       46.3       45.3       43.9
                                Manager level          %       15.3       16.1       16.9
                            Executive level3)          %        6.6        6.8        6.9
      Number of employees on parental leave4)        N/A        N/A        N/A        N/A
                                          Men    Persons        856        999      1,310
                                        Women    Persons      3,041      2,936      3,054
Rate of return to work after parental leave5)        N/A        N/A        N/A        N/A
                                          Men          %       93.8       96.3       96.5
================================================================================
