================================================================================
Table 64
================================================================================
       GRI Standards        No.                                               Disclosures     Status       Page                       Notes
GRI 300: Environment        N/A                                                       N/A        N/A        N/A                         N/A
           Materials        N/A                                                       N/A        N/A        N/A        We made the decision
                 N/A        N/A                                                       N/A        N/A        N/A    to keep this information
                 N/A      301-1                        Materials used by weight or volume          ○          X                         N/A
                 N/A        N/A                                                       N/A        N/A        N/A        private based on the
                 N/A        N/A                                                       N/A        N/A        N/A necessities of our company.
                 N/A        N/A                                                       N/A        N/A     24-26,                         N/A
                 N/A      301-2                             Recycled input materials used          ●       108-                         N/A
                 N/A        N/A                                                       N/A        N/A        109                         N/A
                 N/A        N/A                                                       N/A        N/A       108-                         N/A
                 N/A      301-3          Reclaimed products and their packaging materials          ●        N/A                         N/A
                 N/A        N/A                                                       N/A        N/A        109                         N/A
              Energy      302-1                Energy consumption within the organization          ●    22, 108                         N/A
                 N/A        N/A                                                       N/A        N/A        N/A        We made the decision
                 N/A        N/A                                                       N/A        N/A        N/A    to keep this information
                 N/A      302-2            Energy consumption outside of the organization          ○          X                         N/A
                 N/A        N/A                                                       N/A        N/A        N/A        private based on the
                 N/A        N/A                                                       N/A        N/A        N/A necessities of our company.
                 N/A      302-3                                          Energy intensity          ●        108                         N/A
                 N/A      302-4                           Reduction of energy consumption          ●      20-24                         N/A
                 N/A        N/A                                                       N/A        N/A     10-13,                         N/A
                 N/A        N/A         Reductions in energy requirements of products and        N/A        N/A                         N/A
                 N/A      302-5                                                       N/A          ●    16, 21,                         N/A
                 N/A        N/A                                                  servcies        N/A        N/A                         N/A
                 N/A        N/A                                                       N/A        N/A         24                         N/A
           Water and        N/A                                                       N/A        N/A     35-37,                         N/A
                 N/A      303-1              Interactions with water as a shared resource          ●        N/A                         N/A
           Effluents        N/A                                                       N/A        N/A    110-111                         N/A
                 N/A      303-2             Management of water discharge-related impacts          ●      35-37                         N/A
                 N/A        N/A                                                       N/A        N/A     35-37,                         N/A
                 N/A      303-3                                          Water withdrawal          ●        N/A                         N/A
                 N/A        N/A                                                       N/A        N/A    110-111                         N/A
                 N/A        N/A                                                       N/A        N/A     35-37,                         N/A
                 N/A      303-4                                           Water discharge          ●        N/A                         N/A
                 N/A        N/A                                                       N/A        N/A    110-111                         N/A
                 N/A        N/A                                                       N/A        N/A     35-37,                         N/A
                 N/A      303-5                                         Water consumption          ●        N/A                         N/A
                 N/A        N/A                                                       N/A        N/A    110-111                         N/A
        Biodiversity        N/A  Operational sites owned, leased, managed in, or adjacent        N/A        N/A                         N/A
                 N/A      304-1  to, protected areas and areas of high biodiversity value          ●         37                         N/A
                 N/A        N/A                                   outside protected areas        N/A        N/A                         N/A
                 N/A        N/A Significant impacts of activities, products, and services        N/A        N/A                         N/A
                 N/A      304-2                                                       N/A          ●         37                         N/A
                 N/A        N/A                                           on biodiversity        N/A        N/A                         N/A
                 N/A      304-3                            Habitats protected or restored          ●         37                         N/A
                 N/A        N/A      IUCN Red List species and national conservation list        N/A        N/A                         N/A
                 N/A      304-4                                                       N/A          ●         37                         N/A
                 N/A        N/A     species with habitats in areas affected by operations        N/A        N/A                         N/A
================================================================================
