指标,指标说明,所在报告位置
GRI 2：一般披露 2021,2-22 关于可持续发展战略的声明,P2
,2-24 融合政策承诺,P14
,2-25 补救负面影响的程序,P14
,2-26 寻求建议和提出关切的机制,P14
,2-27 遵守法律法规,P12
,2-28 协会的成员资格,P36
,2-29 利益相关方参与的方法,P6
,2-30 集体谈判协议,P56
GRI 3：实质性议题 2021,3-1 确定实质性议题的过程,P7
,3-2 实质性议题清单,P7
,3-3 实质性议题的管理,P7
GRI 201：经济绩效 2016,201-2 气候变化带来的财务影响以及其他风险和机遇,P39
,201-3 固定福利计划义务和其他退休计划,P61
GRI 205：反腐败 2016,205-2 反腐败政策和程序的传达及培训,P14
,205-3 经确认的腐败事件和采取的行动,P14
GRI 301：物料 2016,301-2 所用循环利用的进料,P54
GRI 302：能源 2016,302-1 组织内部的能源消耗量,P54
,302-2 组织外部的能源消耗量,P54
,302-3 能源强度,P54
,302-4 减少能源消耗,P54
,302-5 产品和服务的能源需求下降,P53
