荣誉奖项,获奖单位,颁发机构
数字制造科技实践奖,赛力斯集团股份有限公司,高端制造业 CIO 组委会
重庆市开放型经济先进单位,重庆小康进出口有限公司,中共重庆市委 重庆市人民政府
中国专利优秀奖（充电方法、系统、装置、设备、 存储介质和电动汽车）,重庆金康动力新能源有限公司,国家知识产权局
全国工商联科技创新民营企业（2023—2026）,赛力斯汽车有限公司,中华全国工商业联合会
国家级绿色工厂,重庆小康动力有限公司,工业和信息化部
全国智能制造示范工厂,赛力斯汽车有限公司,工业和信息化部
全国绿色供应链管理企业,赛力斯汽车有限公司,工业和信息化部
全国质量诚信先进企业,东风小康汽车有限公司,中国质量检验协会
全国产品和服务质量诚信示范企业,东风小康汽车有限公司,中国质量检验协会
全国汽车行业质量领先品牌,东风小康汽车有限公司,中国质量检验协会
全国汽车行业质量领先企业,东风小康汽车有限公司,中国质量检验协会
全国质量检验稳定合格产品,东风小康汽车有限公司,中国质量检验协会
全国消费者质量信誉保障产品,东风小康汽车有限公司,中国质量检验协会
全国质量检验信得过产品,东风小康汽车有限公司,中国质量检验协会
IDC 中国未来数字工业领航者 ( 数字工厂领航者 ),赛力斯汽车有限公司,国际数据公司（IDC）
