关键绩效指标,单位,2022 年,2023 年,关键绩效指标
废气,,,,污泥
废气排放总量,立方米,"7,952,653,849.40","9,187,685,919.00",漆渣
硫氧化物（SOX）,吨,1.27,1.52,废溶剂
氮氧化物（NOX）,吨,17.68,12.12,废胶
VOC,吨,137.62,64.95,废涂料包装物
颗粒物,吨,102.30,28.29,废油
废水,,,,其他废弃物
废水排放总量,吨,"847,246.80","602,907.89",有害废弃物总量 28
氨氮,吨,2.21,0.93,有害废弃物排放密度
总磷,吨,0.35,0.37,
BOD,吨,15.42,13.04,资源消耗
,,,,汽油
COD 废弃物,吨,72.62,56.72,柴油
生活垃圾,吨,"3,766.45","2,628.05",天然气
餐厨垃圾,吨,"1,144.00",462.00,外购电力
办公用纸,吨,26.16,18.23,综合能源消耗量 29
其他办公垃圾,吨,6.30,/,综合能源消耗密度
可回收垃圾,吨,"26,361.43","23,599.39",
无害废弃物总量,吨,"31,304.34","26,404.67",市政供水
无害废弃物排放密度,吨 / 万元营收,0.0092,0.0074,中水回收量
,,,,总用水量
