================================================================================
Table 16
================================================================================
                  指标                               指标说明     所在报告位置
 GRI 303：水资源和污水 2018              303-1 组织与水作为共有资源的相互影响     P49-50
                 N/A                   303-2 管理与排水相关的影响        P50
                 N/A                           303-4 排水        P54
                 N/A                           303-5 耗水        P54
     GRI 305：排放 2016               305-1 直接（范围 1）温室气体排放        P54
                 N/A             305-2 能源间接（范围 2）温室气体排放        P54
                 N/A             305-3 其他间接（范围 3）温室气体排放        P54
                 N/A                     305-4 温室气体排放强度        P54
                 N/A                      305-5 温室气体减排量        P54
                 N/A 305-7 氮氧化物（NOx）、硫氧化物（SOx）和其他重大气体排放        P54
    GRI 306：废弃物 2020             306-1 废弃物的产生及废弃物相关重大影响        P51
                 N/A                 306-2 废弃物相关重大影响的管理        P51
                 N/A                       306-3 产生的废弃物        P54
                 N/A                   306-4 从处置中转移的废弃物        P51
                 N/A                     306-5 进入处置的废弃物        P51
GRI 308：供应商环境评估 2016              308-1 使用环境评价维度筛选的新供应商        P34
     GRI 401：雇佣 2016                401-1 新进员工雇佣率和员工流动率     P57-58
                 N/A       401-2 提供给全职员工（不包括临时或兼职员工）的福利        P61
                 N/A                          401-3 育儿假        P61
GRI 403：职业健康与安全 2018                   403-1 职业健康安全管理体系        P65
                 N/A               403-2 危害识别、风险评估和事故调查        P64
                 N/A                       403-3 职业健康服务     P63-65
                 N/A                  403-5 工作者职业健康安全培训        P64
                 N/A                      403-6 促进工作者健康     P63-65
================================================================================
