Indicators,,Year ended 2023,31 December 2022,2021
Greenhouse Gases,"Total GHG emissions (Scopes 1, 2, 3) (tCO2e)1, 2, 3","5,793,823.7","5,739,723.7","5,871,780.7"
,"Total GHG emissions per unit of revenue (tCO2e/RMB million)1, 2, 3",9.5,10.4,10.5
,"Scope 1 emissions (tCO2e)4, 5","275,373.5","172,137.9","18,797.8"
,Scope 2 emissions (tCO2e)6,"2,561,328.3","2,650,073.3","2,471,041.1"
,Scope 3 emissions (tCO2e)7,"2,957,122.0","2,917,512.5","3,381,941.8"
Energy,Total energy consumption (MWh)8,"5,165,168.2","5,046,045.1","4,452,650.1"
,Total energy consumption per unit of revenue (MWh/RMB million)8,8.5,9.1,7.9
,Direct consumption (MWh),"37,373.3","35,054.9","66,293.4"
,energy Gasoline (L)9,"91,118.9","44,623.7","34,160.0"
,Diesel (L),"1,208,688.0","1,458,596.4","3,261,447.6"
,Natural gas (m3 ),"2,272,886.4","1,867,442.0","3,111,654.3"
,Indirect energy consumption (MWh),"5,127,794.9","5,010,990.2","4,386,356.7"
,Total electricity consumption (MWh),"5,114,669.0","4,997,129.6","4,374,294.7"
,Other indirect energy consumption (MWh)10,"13,125.9","13,860.6","12,062.0"
,Renewable energy purchased (MWh),"604,277.1","336,419.5","63,000.0"
,On-site renewable energy (MWh),"28,311.5","21,870.0","2,334.5"
,Percentage of renewable electricity (%),12.4,7.2,1.5
,Installed capacity of on-site renewable energy facility (MW),52.2,19.6,–
,Average PUE in data centre11,1.279,1.289,1.317
