Indicators,,Year ended 31 \n2023,December \n2022,2021
Training and development8,Percentage of employees who received training (by gender),,,
,Male,98.6%,99.4%,99.6%
,Female,98.7%,99.6%,99.6%
,Percentage of employees who received training (by management level),,,
,Management,99.4%,99.7%,99.8%
,Non-management,98.6%,99.4%,99.6%
,Average hours of training received by employees (by gender),,,
,Male,25.29,35.4,39.7
,Female,27.39,38.5,44.1
,Average hours of training received by employees (by management level),,,
,Management,33.89,50.5,55.5
,Non-management,24.99,34.6,39.5
