Indicators,,Year ended 31 2023,December 2022,2021
Employment,Total number of employees1,"56,7802","61,328","68,226"
,Number of employees by employment type3,,,
,Permanent employees,"54,821","60,135","65,109"
,Other categories,"1,959","1,193","3,117"
,Number of employees by age group,,,
,Under 30,"17,820","22,675","28,608"
,30 to 50,"38,622","38,400","39,420"
,Over 50,338,253,198
,Number of employees by gender,,,
,Male,"40,469","43,693","48,406"
,Female,"16,311","17,635","19,820"
,Number of employees by management level,,,
,Management,"5,926","6,535","6,119"
,Non-management,"50,854","54,793","62,107"
,Number of employees by geographic region,,,
,The Mainland of China,"54,861","59,644","66,906"
,Others,"1,919","1,684","1,320"
Employee turnover,Total turnover rate4,17.0%,21.7%,12.4%
,Employee turnover rate by age group,,,
,Under 30,20.5%,23.6%,14.6%
,30 to 50,15.3%,20.5%,10.9%
,Over 50,19.7%,20.5%,19.4%
,Employee turnover rate by gender,,,
,Male,16.8%,21.7%,11.9%
,Female,17.4%,21.8%,13.5%
,Employee turnover rate by geographic region,,,
,The Mainland of China,16.9%,21.6%,12.3%
,Others,21.4%,28.2%,15.1%
Health and Safety5,Number of work-related fatalities,0,1,0
,Work-related fatality rate (number of fatalities/,0.00,0.01,0.00
,millions of hours worked)6,,,
,Number of work-related injuries,14,11,32
,Work-related injury rate (number of injuries/,0.13,0.09,0.25
,millions of hours worked)7,,,
,Working days lost due to work-related injuries,576,322,480
