,List of Tencent Cloud Security,Compliance Certifications,
,Cybersecurity Multi-Level Protection Scheme (China),,ISO 27701:2019 Privacy Information Management Systems (International)
,Cloud Computing Service Security Assessment (Augmented) (China),,ISO 29151:2017 Code of Practice for Personally Identifiable Information Protection
,,,(International)
,Trusted Cloud Service Certification (China),,BS10012:2017 Personal Information Management Systems (International)
,,Privacy Protection,
,ITTS Certification (China),,ISO 27018:2019 Code of Practice for Protecting Personal Data in the Cloud
,,,(International)
,CCRC Certification for Qualifications of Information Security Service Provider (China),,ISO 27799:2016 Information Security Management in Health (International)
,ITSEC Cloud Computing Security Certification (China),,Data Protection Trustmark (DPTM) Certification (Singapore)
,IT Product Information Security EAL4 Certification (Augmented) (China),,ISO 22301:2019 Business Continuity Management Systems (International)
,Special Certification for Cybersecurity Products (China),,ISO 9001:2015 Quality Management System (International)
,"SOC 1, SOC 2 and SOC 3 Compliance Audits (International)",Business Continuity and Others,ISO 20000:2018 IT Service Management System (International)
Cybersecurity,ISO 27001:2022 Information Security Management Systems (International),,ISO 14001:2015 Environmental Management Systems (International)
,ISO 27017:2015 Code of Practice for Information Security Controls for Cloud Services (International),,ISO 50001:2018 Energy Management Systems (International)
,CSA STAR Certification (Gold Medal) (International),,PCI DSS Certification (International)
,NIST CSF Certification (United States),,Outsourced Service Provider Audit Report (OSPAR) (Singapore)
,Multi-Tier Cloud Security (MTCS) Certification (Singapore),,SEC 17-a-4 (f) Compliance Audits (United States)
,Korea Information Security Management System (Republic of Korea),,"Self-Assessment on IT Security Compliance of Financial Industry (HKMA/HKIA/SFC,"
,,,"Hong Kong, China)"
,Cloud Compliance Criteria (Germany),Financial Compliance,"Self-Assessment on IT Security Compliance of Financial Industry (FISC, Japan)"
,Computing Catalogue,,
,Trusted Information Security Assessment Exchange (TISAX) in the Automotive Industry,,IT Compliance Audit in Financial Industry (Malaysia)
,(Germany),,
,,,IT Compliance Audit in Financial Industry (Indonesia)
,,,IT Compliance Audit in Financial Industry (Philippines)
,,,IT Compliance Audit in Financial Industry (Thailand)
