Reporting Framework Overview,ESG Reporting Guide,TCFD,SASB,GRI Standard 2-1,UNGC,SDGs,
Corporate Governance Board Independence and Diversity,Appendix C1 J.1,,,,,,
Risk Management Commercial Social and Shareholder Value,,Risk Management – (b),,,,,
"Value, Value, Board Statement",para.10; para.13,,,3-3,,,
ESG Governance ESG Strategy,,,,,,,
ESG Governance Structure Annual Review of ESG Working Group,para.13,Governance – (b),,2-9; 2-13; 2-14,,,
Integrate ESG Concepts into Corporate Culture ESG Materiality Assessment,Appendix C1 A.12 para.11; para.14,,,2-29; 3-1; 3-2; 3-3,,,
Chapter 1 Environmental Protection,,,,,,,
1.1 Our Approach 1.2 Environmental Governance and Risk Management,A1; A2; A3; A4 A3.1; A4; A4.1; para.13,Governance – (a) and (b);,,302-1; 306-3; 308-1; 308-2,,,
1.3 Climate Strategy and Action,A1; A1.1; A1.2; A1.5; A2.3; A2.4;,"Risk Management – (a), (b) and (c) Strategy – (a), (b) and (c);",TC-IM-130a.3,201-2,,,
1.4 Carbon,A4; A4.1; para.14 A1; A1.1; A1.2; A1.5; A1.6; A2; A2.3;,"Risk Management – (a), (b) and (c)",TC-IM-130a.3,302-1; 302-2; 302-3; 302-4;,"Principle 7, 8, 9",,
Neutrality,A3.1; A4.1,,,302-5; 305-1; 305-2; 305-3; 305-4; 305-5,,,
1.5 Biodiversity and Nature Protection 1.6 Metrics and Targets,A2.4; A3; A3.1 A1.5; A1.6; A2.3; A2.4,Metrics and Targets –,,303-2; 304-2; 304-3; 304-4; 306-2 302-4; 303-2; 305-5; 306-1,,,
Chapter 2 Care for Our People,,"(a), (b) and (c)",,,,,
2.1 Our Approach,B1; B2; B3; B4,,,401-1; 401-2; 401-3; 405-1;,,,
2.2 Talent Acquisition and Retention,B1; B4; B4.1,,TC-IM-330a.2,407-1; 408-1; 409-1,"Principle 1, 2, 3, 4,",,
"2.3 Implement Diversity, Equity, and Inclusion 2.4 Support Career Development",B1 B3,,TC-IM-330a.3,405-1; 406-1 404-2,"5, 6",,
2.5 Promote Health and Vitality,B2; B2.3,,,403-1; 403-3; 403-4; 403-5; 403-6; 403-7; 403-8; 403-10,,,
