Reporting Framework,ESG Reporting Guide,TCFD,,SASB,GRI Standard,UNGC,SDGs
Chapter 3 Protect Digital Rights 3.1 Protect User Data Privacy,B6; B6.5,,,TC-IM-220a.1,416-1; 416-2; 418-1; 424-1,,
3.2 Safeguard Cyber and Data Security,B6,,,TC-IM-220a.3; TC-IM-230a.1;,416-1; 418-1,,
3.3 Protect Intellectual Property,B6; B6.3,,,TC-IM-230a.2 TC-IM-520a.1,203-1; 203-2; 418-1,"Principle 1, 2",
3.4 Promote Responsible AI,B6,,,TC-IM-220a.1; TC-IM-230a.2,203-1; 203-2,,
3.5 Digital Safety and Well-Being Chapter 4 Create Sustainable Social Value,B6; B6.2,,,TC-IM-220a.1; TC-IM-220a.5,416-1; 418-1,,
4.1 Advance Technology Innovation,B8; B8.1; B8.2,,,,203-1; 203-2; 413-1,,
4.2 Create the Social Value of Digital Technology 4.3 Digital Inclusive Finance,B8; B8.1; B8.2 B8; B8.1; B8.2,,,,203-1; 203-2; 413-1 203-1; 203-2; 413-1,,
4.4 Promote Barrier-Free Technology 4.5 Popularise Philanthropy,B8; B8.1; B8.2 B8; B8.1; B8.2,,,,203-1; 203-2; 413-1 203-1; 203-2; 413-1,,
Chapter 5 Business Ethics,,,,,,,
5.1 Adhere to Practising Integrity 5.2 Promote Fair Competition,B7; B7.1; B7.2; B7.3,,,,205-1; 205-2; 205-3 206-1,Principle 10,
5.3 Anti-Money Laundering Risk Management 5.4 Sustainable Supply Chain,B7 B5; B5.1; B5.2; B5.3; B5.4,,,,308-1; 414-1,,
Appendix About This Report,para.11; para.14; para.15,,,,2-2; 2-3,,
,A1.1; A1.2; A1.3; A1.4; A2.1; A2.2;,,,TC-IM-130a.1; TC-IM-130a.2;,302-1; 302-2; 302-3; 303-3;,,
ESG Key Performance Tables,B1.1; B1.2; B2.1; B2.2; B3.1; B3.2,Metrics and Targets – (b),,TC-IM-330a.1; TC-IM-330a.3,303-5; 305-1; 305-2; 305-3; 305-4; 306-3; 401-1; 403-9,,
Climate-Related Risks and Opportunities List of Tencent Cloud Security Compliance Certifications,A4; A4.1,"Strategy (a), (b) and (c)",,,201-2,,
Assurance Report Greenhouse Gas Verification Statement,para.9 para.9,,,,2-5,,
