opportunities \nvalue the enhance,Risk and Opportunity \nPhysical Risks1,Category \n• Acute • Chronic,Time Horizons \nBaseline2,"Climate Scenarios Selection \nIPCC Sixth Assessment Report IPCC Shared Socioeconomic Pathways (""SSP"")"
,,,20303,"Low-carbon scenarios, aligned with Paris Agreement:"
,,,20503,• SSP1-2.6
,,,,High-carbon scenarios:
,,,,• SSP3-7.0
,,,,• SSP5-8.5
,Transition Risks,• Policy & Legal • Technology,2030,IEA
,,• Market • Reputation,2040,"Low-carbon scenarios, aligned with Paris Agreement:"
,,,20504,• Net Zero Emission Scenario
,Transition Opportunities,• Energy Efficiency,,High-carbon scenarios: Stated Policies Scenario
,,• Energy source,,
,,Services,,
,,• Products & • Market • Resilience,,
