GHG Emissions(tonne (Mt) of CO2e),Unit \ntonne (Mt) of CO2e,2023 \nThe data is expected to be disclosed in September 2024,"2022 \n10,075,225.54","2021 \n12,368,223.29",2020 \n-
Total Water Consumption,,,,,
Water Withdrawal76,tonne (Mt),"683,906.94","510,156.05","463,663.00","303,132.92"
Fresh Water Consumption,tonne (Mt),"523,100.75","391,953.85","329,572.00","187,339.02"
Reclaimed Water Consumption,tonne (Mt),"164,353.00","118,202.20","134,091.00","115,793.90"
Water Discharge,tonne (Mt),"562,194.62",-,-,-
Non-hazardous Waste,tonne (Mt),"7,174.83","7,052.28","6,328.88","4,661.07"
Hazardous Waste77,tonne (Mt),95.78,1.43,2.50,0.37
Total Packaging Materials Used for Finished Products,tonne (Mt),"4,254.86","5,065.08",-,-
Air Pollutant Emissions78,,,,,
NOx Emissions,tonne (Mt),0.33,-,-,-
VOCs Emissions,tonne (Mt),0.21,-,-,-
