,Unit,2023,2022,2021,2020
By Cohort Level,,,,,
Senior,%,1.05,0.99,0.92,1.13
Male,%,83.24,82.61,-,-
Female,%,16.76,17.39,-,-
Mid-Level,%,46.98,40.63,36.45,33.46
Male,%,74.05,73.91,-,-
Female,%,25.95,26.09,-,-
Junior,%,51.97,58.38,62.64,65.41
Male,%,64.63,62.76,-,-
Female,%,35.37,37.24,-,-
By Geographic Region,,,,,
China,%,94.18,92.39,93.08,93.26
Other Asian Countries and Regions,%,4.05,5.54,5.03,5.45
European Countries and Regions,%,1.59,1.91,1.83,1.26
North American Countries and Regions,%,0.14,0.16,0.05,0.03
South American Countries and Regions,%,0.04,0.00,0.00,0.00
Oceania Countries and Regions,%,0.00,0.00,0.00,0.00
