Issue,Material,Governance and Key Business Areas Demonstrated
Product and service quality,,"Smartphones, IoT and lifestyle products, and Internet services"
Exploration and,accessibility of technology,"Smartphones, IoT and lifestyle products, Internet services, and innovative business"
Sustainable supply chain,,"Smartphones, IoT and lifestyle products, and innovative business"
Climate mitigation and,adaptation,Smartphones
Data security and privacy,protection,"Smartphones, IoT and lifestyle products, and internet services"
Talent development,,Management infrastructure
Corporate governance,,Management infrastructure
Business ethics,,Management infrastructure
Waste management and,the circular economy,Smartphones and IoT and lifestyle products
Natural resources and,biodiversity,Management infrastructure
Social welfare and,community engagement,"Smartphones, IoT and lifestyle products, and innovative business"
