H1 H2,HKEx,GRI,SASB,,Description,Index
About the Report,para 14 Reporting Principles,,,a,"""A description of, or an explanation on, the application of the following Reporting Principles in the preparation of the ESG report: Materiality: The ESG report should disclose: (i) the process to identify and the criteria for the selection of material ESG factors; (ii) if a stakeholder engagement is conducted, description of significant stakeholders identified, and the process and results of the issuer’s stakeholder engagement. Quantitative: Information on the standards, methodologies, assumptions and/ or calculation tools used, and source of conversion factors used, for the reporting of emissions/energy consumption (where applicable) should be disclosed. Consistency: The issuer should disclose in the ESG report any changes to the methods or",
,para 15,,,A,"KPIs used, or any other relevant factors affecting a meaningful comparison."" narrative explaining the reporting boundaries of the ESG report and describing the",
,Reporting Boundary,,,,"process used to identify which entities or operations are included in the ESG report. If there is a change in the scope, the issuer should explain the difference and reason for the change.",
,,2-2,,,Entities included in the organization’s sustainability reporting,
,,2-3,,,"Reporting period, frequency and contact point",
About Xiaomi,para 13,2-5 2-1,,(i),"External assurance External assurance ""A statement from the board containing the following elements: a disclosure of the board’s oversight of ESG issues; (ii) the board’s ESG management approach and strategy, including the process used to",
Board Statement,Governance Structure,2-22,,,"evaluate, prioritise and manage material ESG-related issues (including risks to the issuer’s businesses); and (iii) how the board reviews progress made against ESG-related goals and targets with an explanation of how they relate to the issuer’s businesses. "" External assurance",
,,2-23,,,Policy commitments,
,,2-24,,,Embedding policy commitments,
Stakeholder Engagement,B8,,,,Policies on community engagement to understand the needs of the communities where the issuer operates and to ensure its activities take into consideration the communities’ interests.,
,,2-6,,,"Activities, value chain and other business relationships",
,,2-7,,,Employees,
,,2-8,,,Workers who are not employees,
