H1,H2,HKEx,GRI,SASB,Description,Index
,,,2-26 2-29,,Mechanisms for seeking advice and raising concerns Approach to stakeholder engagement,
Materiality Assessment,,,2-16,,Communication of critical concerns,
,,,2-29,,Approach to stakeholder engagement determine material,
,,,3-1 3-2,,Process to topics List of material topics,
Technology Created,Exploration and,,3-3,,Management of material topics Policies on improving employees’ knowledge and skills for discharging duties at work.,
to Better Lives,Accessibility of Technology,B3,,,Description of training activities.,
,,,203-2 302-5,,Indirect economic impacts Reductions in energy requirements of products and services,
,Product and Service Quality,B3,,,"Policies on improving employees’ knowledge and skills for discharging duties at work. Description of training activities. ""Information on:",
,,B6,,,"(a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to health and safety, advertising, labelling and privacy matters relating to products and services provided and methods of redress.""",
,,B6.2,,,Number of products and service related complaints received and how they are dealt with.,
,,B6.4 B8,,,Description of quality assurance process and recall procedures. Policies on community engagement to understand the needs of the communities where the issuer operates and to ensure its activities take into consideration the communities’,
,,B8.2,,,interests. Resources contributed (e.g. money or time) to the focus area.,
,,,2-27 416-1,,Compliance with laws and regulations Assessment of the health and safety impacts of product and service categories,
,,,416-2,,Incidents of non-compliance concerning the health and safety impacts of products and,"This year, Xiaomi experienced no incidents of non￾compliance concerning the health and safety impacts of"
,,,417-1,,services Requirements for product and service information and labeling,products and services.
