,,,,,
,A1.5 A2.3,,,Description of emissions target(s) set and steps taken to achieve them. Description of energy use efficiency target(s) set and steps taken to achieve them.,
,,,,Policies on minimising the issuer’s significant impacts on the environment and natural,
,A3,,,resources. Description of the significant impacts of activities on the environment and natural,
,A3.1,,,resources and the actions taken to manage them.,
,A4,,,"Policies on identification and mitigation of significant climate-related issues which have impacted, and those which may impact, the issuer.",For more information about Xiaomi's response to climate
,A4.1,,,"Description of the significant climate-related issues which have impacted, and those which may impact, the issuer, and the actions taken to manage them. Policies on improving employees’ knowledge and skills for discharging duties at work.","change, please refer to the Sustainability - Climate Change page on the Group's official website (https://www.mi.com/ csr#/climate) and the TCFD report for the year."
,B3,,,Description of training activities. Description of practices used to promote environmentally preferable products and,
,B5.4,2-22,,"services when selecting suppliers, and how they are implemented and monitored. Statement on sustainable development strategy",
,,2-23 2-24,,Policy commitments Embedding policy commitments,
,,201-2,,Financial implications and other risks and opportunities due to climate change,
,,302-4,,Reduction of energy consumption,
,,302-5 303-1,,Reductions in energy requirements of products and services Interactions with water as a shared resource,
,,303-2,,Management of water discharge-related impacts,
Waste Management,,305-5,,Reduction of GHG emissions,
and Circular Economy,A1.6,,,"Description of how hazardous and non-hazardous wastes are handled, and a description of reduction target(s) set and steps taken to achieve them.",
,A3,,,Policies on minimising the issuer’s significant impacts on the environment and natural resources.,
,A3.1,,,Description of the significant impacts of activities on the environment and natural resources and the actions taken to manage them.,
,B3,,,Policies on improving employees’ knowledge and skills for discharging duties at work. Description of training activities.,
