,,,,
,B5.4,,,"Description of practices used to promote environmentally preferable products and services when selecting suppliers, and how they are implemented and monitored."
,B6,,,"""Information on: (a) the policies; and (b) compliance with relevant laws and regulations that have a significant impact on the issuer relating to health and safety, advertising, labelling and privacy matters relating to products and services provided and methods of redress."""
,B6.4,,,Description of quality assurance process and recall procedures.
,,2-23,,Policy commitments
,,2-24,,Embedding policy commitments
,,301-1,,Materials used by weight or volume
,,301-2,,Recycled input materials used
,,301-3,,Reclaimed products and their packaging materials
,,305-5,,Reduction of GHG emissions
,,306-1,,Waste generation and significant waste-related impacts
,,306-2,,Management of significant waste-related impacts
,,306-3,,Waste generated
,,306-4,,Waste diverted from disposal
,,306-5,,Waste directed to disposal
,,,TC-HW￾410a.4,"Weight of end-of-life products and e-waste recovered, percentage recycled"
,,,TC-HW￾440a.1,Description of the management of risks associated with the use of critical materials
Natural Resources and Biodiversity,A2,,,"Policies on the efficient use of resources, including energy, water and other raw materials."
,A2.4,,,"Description of whether there is any issue in sourcing water that is fit for purpose, water efficiency target(s) set and steps taken to achieve them."
,A3,,,Policies on minimising the issuer’s significant impacts on the environment and natural resources.
,A3.1,,,Description of the significant impacts of activities on the environment and natural resources and the actions taken to manage them.
,,304-1,,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas"
