H1,H2,HKEx,GRI 417-3,SASB,Description Incidents of non-compliance concerning marketing communications,Index
Key Performance Indicators,Key Environmental Indicators,A1.1,,,The types of emissions and respective emissions data.,"For more information about emissions, please refer to the Sustainability - Climate Change page on the Group's official"
,,A1.2,,,Direct (Scope 1) and energy indirect (Scope 2) greenhouse gas emissions (in tonnes),website (https://www.mi.com/csr#/climate).
,,A1.3,,,"and, where appropriate, intensity (e.g. per unit of production volume, per facility). Total hazardous waste produced (in tonnes) and, where appropriate, intensity (e.g. per",
,,A1.4,,,"unit of production volume, per facility). Total non-hazardous waste produced (in tonnes) and, where appropriate, intensity (e.g.",
,,A1.5,,per,"unit of production volume, per facility). Description of emissions target(s) set and steps taken to achieve them.",
,,A2.1,,in,"Direct and/or indirect energy consumption by type (e.g. electricity, gas or oil) in total (kWh ’000s) and intensity (e.g. per unit of production volume, per facility).",
,,A2.2,,,"Water consumption in total and intensity (e.g. per unit of production volume, per facility). of and taken achieve them.",
,,A2.3 A2.4,,,"Description energy use efficiency target(s) set steps to Description of whether there is any issue in sourcing water that is fit for purpose, water",
,,A2.5,,,"efficiency target(s) set and steps taken to achieve them. Total packaging material used for finished products (in tonnes) and, if applicable, with",
,,,302-1,,reference to per unit produced. Energy consumption within the organization,
,,,302-2,,Energy consumption outside of the organization,
,,,302-3 303-3,,Energy intensity Water withdrawal,
,,,303-4 303-5,,Water discharge,
,,,305-1,,Water consumption Direct (Scope 1) GHG emissions,
,,,305-2 305-3,,Energy indirect (Scope 2) GHG emissions Other indirect 3) GHG emissions,
,,,305-4,,(Scope Other indirect (Scope 3) GHG emissions,
,,,305-5 305-7,,"Reduction of GHG emissions Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",
,Key Social Indicators,B1.1,,,"Total workforce by gender, employment type (for example, full- or part- time), age and",
,,B1.2,,,"group geographical region. Employee turnover rate by gender, age group and geographical region.",
