H2,HKEx,GRI,SASB,Description,,Index
,,,,Number and rate of work-related,fatalities occurred in each of the past three years,
,B2.1,,,,,
,,,,including the reporting year.,,
,B2.2,,,Lost days due to work injury.,,
,,,,The percentage of employees trained,by gender and employee category (e.g. senior,
,B3.1,,,,,
,,,,"management, middle management).",,
,B3.2,,,The average training hours completed,per employee by gender and employee category.,
,B5.1,,,Number of suppliers by geographical,region.,
,,,,Percentage of total products sold or,shipped subject to recalls for safety and health,
,B6.1,,,,,
,,,,reasons.,,
,B6.2,,,Number of products and service,related complaints received and how they are dealt with.,
,,2-4,,Restatements of information,,
,,401-1,,New employee hires and employee,turnover,
,,404-1,,Average hours of training per year per,employee,
,,405-1,,Diversity of governance bodies and,employees,
,,403-9,,Work-related injuries,,
,,403-10,,Work-related ill health,,
,,,,"""Percentage of gender and",racial/ethnic groups representation for (1) management,
,,,TC-HW￾330a.1,(2) technical staff,,
,,,,"(3) all other employees""",,
Other relevant,,,,,,
,,2-10,,Nomination and selection of the,highest governance body,
indicators,,,,,,
,,2-11,,Chair of the highest governance body,,
,,2-12,,Chair of the highest governance body,,
,,2-13,,Delegation of responsibility for,managing impacts,
,,2-15,,Conflicts of interest,,
,,2-17,,Collective knowledge of the highest,governance body,
,,2-18,,Evaluation of the performance of the,highest governance body,
,,2-19,,Remuneration policies,,
,,2-20,,Process to determine remuneration,,
,,2-21,,Annual total compensation ratio,,
,,201-1,,Direct economic value generated and,distributed,
,,201-4,,Financial assistance received from,government,
,,207-1,,Approach to tax,,
