water,corporate facilities,unit,2023,2022,2021,2020,2019
,Total,million gallons,1610,1527,1407,1287,1291
,Freshwater 1,million gallons,1411,1380,1259,1168,1178
,Recycled water 2,million gallons,151,142,141,113,106
,Other alternative sources 3,million gallons,48,5,7,5,7
,Supply chain Freshwater saved,million gallons,12700,13000,12300,10800,9300
Waste,Corporate facilities,,,,,,
,Landfill diversion rate Landfilled solid,%,74,71,68,70,66
,(municipal waste) Recycled,pounds pounds,38343490 81781660,33260990 78618250,33202200 73489220,25826550 63812300,38317120 72338130
,Composted,pounds,14803510,8726170,4844960,6302410,10882120
,Hazardous waste,pounds,7321130,2780610,3525840,4053770,6096600
,Waste to energy,pounds,5713790,1197570,657890,786250,1129080
,Supply chain,,,,,,
,Waste diverted from landfill,metric tons,497000,523000,419000,400000,322000
Product packaging footprint,Packaging Total packaging 4,metric tons,254270,276100,257000,226000,189000
,Recycled fiber,% of total,62,66,63,60,59
,Responsibly sourced virgin fiber 5,% of total,35,30,33,35,33
,Plastic,% of total,3,4,4,6,8
