location,renewable energy technology,size (mw)
Australia,PV,0.5
Brazil,Wind,0.5
China mainland,PV,195.0
Denmark,PV,42.0
Denmark,Wind,17.0
India,PV,16.0
Israel,PV,5.0
Japan,PV,12.0
Mexico,Wind,0.8
Power for Impact projects,PV,1.2
Rooftop solar projects,PV,5.0
Singapore,PV,54.0
Taiwan,PV,1.0
Türkiye,PV,4.0
Arizona U.S.,PV,62.0
California U.S.,Biogas fuel cell,4.0
California U.S.,PV,144.0
Illinois U.S.,Wind,112.0
Nevada U.S.,PV,320.0
North Carolina U.S.,PV,164.0
Oregon U.S.,Microhydro,3.0
Oregon U.S.,PV,125.0
Oregon U.S.,Wind,200.0
Texas U.S.,Wind,25.0
Virginia U.S.,PV,134.0
,Total,1647.0
